Unnamed: 0,Unnamed: 0.1,Age,Athlete,Athlete_URL,Gender,Height,Finish,Score,Region,Weight,Wk1,Wk2,Wk3,Wk4,Wk5,Year,Team,Affiliate,Fran,Helen,Grace,Filthy_50,Fight_Gone_Bad,Sprint_400,Run_5k,Clean_And_Jerk,Snatch,Deadlift,Back_Squat,Max_Pullups,Place,Wk1_Place,Wk1_Score,Wk2_Place,Wk2_Score,Wk3_Place,Wk3_Score,Wk4_Place,Wk4_Score,Wk5_Place,Wk5_Score,User_ID
1764,64,36.0,Wayne Willette,http://games.crossfit.com/athlete/4842,1,72.0,1765 (12866),12866,0,215.0,2760 (261),529 (346),680 (121),812 (251),8085 (12:18),16,Team CrownTown,CrossFit CrownTown,,,,,417,,,365.0,275.0,550.0,455.0,60,1765,2760,261,529,346,680,121,812,251,8085,738,4842
1765,65,31.0,Jānis Todavcics,http://games.crossfit.com/athlete/559348,1,,1766 (12873),12873,0,207.0,3663 (252),1997 (340),820 (119),1884 (236),4509 (11:26),16,,,,,,,,,,,,,,,1766,3663,252,1997,340,820,119,1884,236,4509,686,559348
1766,66,17.0,Tanner Stickney,http://games.crossfit.com/athlete/246049,1,68.0,1767 (12881),12881,0,160.0,1372 (273),3182 (339),4073 (106),3003 (223),1251 (10:03),16,Diablo CrossFit Reposado,Diablo CrossFit,,,,,375,,,280.0,225.0,405.0,330.0,54,1767,1372,273,3182,339,4073,106,3003,223,1251,603,246049
1767,67,24.0,Paul Schecklman,http://games.crossfit.com/athlete/94743,1,70.0,1768 (12887),12887,0,200.0,604 (290),8295 (258),1897 (114),976 (248),1115 (09:57),16,,Unaffiliated,,,,,,,,345.0,255.0,575.0,460.0,49,1768,604,290,8295,258,1897,114,976,248,1115,597,94743
1768,68,20.0,Jón Elí,http://games.crossfit.com/athlete/67157,1,72.83,1769 (12902),12902,0,200.62,1372 (273),4323 (262),1801 (114),4136 (215),1270 (10:04),16,CrossFit Reykjavik,Reebok CrossFit Reykjavík,,,,,381,,,308.65,264.55,462.97,418.88,45,1769,1372,273,4323,262,1801,114,4136,215,1270,604,67157
1769,69,19.0,Reno Horton,http://games.crossfit.com/athlete/243217,1,68.0,1770 (12913),12913,0,175.0,1057 (278),2654 (339),2011 (114),6356 (207),835 (09:45),16,Crossfit Breakout,CrossFit Breakout,,,,,,,,,,,,,1770,1057,278,2654,339,2011,114,6356,207,835,585,243217
1770,70,27.0,Blake Sama,http://games.crossfit.com/athlete/302593,1,,1771 (12918),12918,0,179.0,944 (283),2970 (339),2612 (112),4756 (212),1636 (10:19),16,BRICK Boston,Brick CrossFit DTX,,,,,,,,,,,,,1771,944,283,2970,339,2612,112,4756,212,1636,619,302593
1771,71,31.0,James Howell,http://games.crossfit.com/athlete/376282,1,73.0,1772 (12923),12923,0,210.0,2869 (260),3151 (339),2122 (114),2672 (227),2109 (10:33),16,CrossFitCrash,CrossFit Crash,,,,,,,,,,,,,1772,2869,260,3151,339,2122,114,2672,227,2109,633,376282
1772,72,21.0,Stefán Jóhannsson,http://games.crossfit.com/athlete/553920,1,,1773 (12946),12946,0,215.0,604 (290),2229 (340),2810 (111),5598 (209),1705 (10:21),16,CrossFit Reykjavik,Reebok CrossFit Reykjavík,,,,,,,,,,,,,1773,604,290,2229,340,2810,111,5598,209,1705,621,553920
1773,73,25.0,Benjamin Kimbel,http://games.crossfit.com/athlete/284793,1,,1774 (12948),12948,0,,755 (286),4358 (261),2122 (114),2089 (234),3624 (11:09),16,,,,,,,,,,,,,,,1774,755,286,4358,261,2122,114,2089,234,3624,669,284793
