Age,Athlete,Athlete_URL,Finish,Gender,Height,Region,User_ID,Weight,Wk1,Wk2,Wk3,Wk4,Wk5,Year
0,Jamie Hagiya,http://games.crossfit.com/athlete/196834,68 (706),0,0,0,0,0,90 (297),18 (430),58 (126),416 (243),124 (09:09),16
0,Megan Lovegrove,http://games.crossfit.com/athlete/51125,69 (709),0,0,0,0,0,26 (314),151 (425),122 (119),282 (249),128 (09:10),16
0,Whitney Gelin,http://games.crossfit.com/athlete/110918,70 (721),0,0,0,0,0,239 (282),46 (430),175 (116),201 (253),60 (08:48),16
0,Camilla Salomonsson Hellman,http://games.crossfit.com/athlete/2088,71 (729),0,0,0,0,0,436 (272),42 (430),151 (117),26 (280),74 (08:54),16
0,Meredith Buckner,http://games.crossfit.com/athlete/148485,72 (743),0,0,0,0,0,105 (294),169 (425),56 (126),293 (248),120 (09:08),16
0,Sheila Barden,http://games.crossfit.com/athlete/23856,73 (747),0,0,0,0,0,37 (310),297 (423),176 (116),221 (252),16 (08:19),16
0,Helen Harding,http://games.crossfit.com/athlete/291518,74 (748),0,0,0,0,0,274 (278),275 (423),16 (133),72 (266),111 (09:05),16
0,Meg Reardon,http://games.crossfit.com/athlete/115892,75 (751),0,0,0,0,0,337 (275),23 (430),152 (117),132 (258),107 (09:03),16
0,Becca Chilczenkowski,http://games.crossfit.com/athlete/9994,76 (765),0,0,0,0,0,16 (322),63 (429),510 (109),150 (257),26 (08:29),16
0,Marisa Hardy,http://games.crossfit.com/athlete/308404,77 (778),0,0,0,0,0,274 (278),57 (430),90 (122),195 (254),162 (09:16),16
0,Dani Horan,http://games.crossfit.com/athlete/3200,78 (780),0,0,0,0,0,319 (276),17 (430),141 (118),68 (266),235 (09:28),16
0,Danielle Lopiz,http://games.crossfit.com/athlete/53016,79 (782),0,0,0,0,0,194 (286),356 (423),91 (122),91 (262),50 (08:43),16
0,Colleen Fotsch,http://games.crossfit.com/athlete/245403,80 (784),0,0,0,0,0,239 (282),16 (430),41 (128),133 (258),355 (09:43),16
