,"Unnamed: 0",Athlete,Athlete_URL,Games_Finish,Year,Games_Score,Games_Place,Division,Event_#,Event_ID,Event_Place,Event_Points,Event_Raw_Score,Event_Score
15,15,"Patrick Burke",http://games.crossfit.com/athlete/15617,"16 (608)",2012,608,16,1,2,2012_02,7,73,02:03:06,7386
16,16,"Kenneth Leverich",http://games.crossfit.com/athlete/21343,"17 (604)",2012,604,17,1,2,2012_02,16,55,02:07:04,7624
17,17,"Gabe Subry",http://games.crossfit.com/athlete/8496,"18 (604)",2012,604,18,1,2,2012_02,15,57,02:06:46,7606
18,18,"Chase Daniels",http://games.crossfit.com/athlete/9241,"19 (531)",2012,531,19,1,2,2012_02,6,75,02:02:46,7366
19,19,"Neal Maddox",http://games.crossfit.com/athlete/24156,"20 (527)",2012,527,20,1,2,2012_02,33,24,02:18:04,8284
20,20,"Aja Barto",http://games.crossfit.com/athlete/36154,"21 (519)",2012,519,21,1,2,2012_02,40,17,02:25:35,8735
21,21,"Chris Spealler",http://games.crossfit.com/athlete/27065,"22 (495)",2012,495,22,1,2,2012_02,44,13,02:41:11,9671
22,22,"Jon Pera",http://games.crossfit.com/athlete/31660,"23 (495)",2012,495,23,1,2,2012_02,14,59,02:06:24,7584
23,23,"Númi S. Katrínarson",http://games.crossfit.com/athlete/11391,"24 (471)",2012,471,24,1,2,2012_02,2,95,01:59:16,7156
24,24,"Albert-Dominic Larouche",http://games.crossfit.com/athlete/49510,"25 (421)",2012,421,25,1,2,2012_02,36,21,02:19:26,8366
25,25,"Justin Allen",http://games.crossfit.com/athlete/1819,"26 (397)",2012,397,26,1,2,2012_02,37,20,02:23:15,8595
26,26,"Joey Warren",http://games.crossfit.com/athlete/11644,"27 (396)",2012,396,27,1,2,2012_02,27,33,02:13:37,8017
27,27,"Phillip Kniep",http://games.crossfit.com/athlete/11826,"28 (394)",2012,394,28,1,2,2012_02,34,23,02:18:24,8304
28,28,"Guido Trinidad",http://games.crossfit.com/athlete/30180,"29 (383)",2012,383,29,1,2,2012_02,32,25,02:16:26,8186
29,29,"Frederik Aegidius",http://games.crossfit.com/athlete/18543,"30 (382)",2012,382,30,1,2,2012_02,22,43,02:09:46,7786
30,30,"Jeremy Kinnick",http://games.crossfit.com/athlete/35012,"31 (382)",2012,382,31,1,2,2012_02,26,35,02:13:05,7985
31,31,"Mikko Aronpää",http://games.crossfit.com/athlete/10822,"32 (374)",2012,374,32,1,2,2012_02,8,71,02:04:36,7476
32,32,"Daniel Hershey",http://games.crossfit.com/athlete/2615,"33 (357)",2012,357,33,1,2,2012_02,9,69,02:05:15,7515
