,Unnamed: 0,Age,Athlete,Athlete_URL,Gender,Height,Reg_Place,Reg_Score,Region,Weight,Wk1,Wk2,Wk3,Wk4,Wk5,Year,Team,Affiliate,Fran,Helen,Grace,Filthy_50,Fight_Gone_Bad,Sprint_400,Run_5k,Clean_And_Jerk,Snatch,Deadlift,Back_Squat,Max_Pullups
62,62,28,Kristian Kjelsbak,http://games.crossfit.com/athlete/267891,1,72.05,63 (459),0,1,--,18 (286),159 (258),34 (116),204 (201),44 (10:32),16,Team Gold Box,CrossFit Gold Box,4:58,--,2:59,--,--,--,--,82 kg,--,120 kg,105 lb,--
63,63,22,Conor Johnson,http://games.crossfit.com/athlete/107479,1,64.96,64 (463),0,1,143 lb,119 (240),92 (262),95 (106),72 (215),85 (11:18),16,Crossfit Black and Yellow,CrossFit Black & Yellow,2:29,0:00,--,--,--,--,23:00,--,85 kg,200 kg,160 kg,0
64,64,20,Kalim Bechara,http://games.crossfit.com/athlete/402324,1,72.44,64 (463),0,1,179 lb,76 (251),111 (260),123 (103),79 (213),74 (11:07),16,CrossFit Live Better,CrossFit Live Better,2:32,8:24,2:03,19:07,398,0:57,19:21,285 lb,225 lb,500 lb,375 lb,54
65,65,25,Brad Clark,http://games.crossfit.com/athlete/111928,1,68.0,66 (476),0,1,--,79 (250),105 (261),112 (104),76 (214),104 (11:35),16,CPCF Salmiya,Circuit Plus CrossFit Gulf Road,--,--,--,--,--,--,--,--,--,--,--,--
66,66,30,Tyron Hatch,http://games.crossfit.com/athlete/99139,1,73.23,67 (492),0,1,205 lb,135 (236),44 (340),74 (110),122 (207),117 (11:41),16,Crossfit District Six,CrossFit District Six,2:46,10:23,--,--,407,1:05,24:00,120 kg,96 kg,188 kg,160 kg,25
67,67,25,Jakkie Homan,http://games.crossfit.com/athlete/236473,1,68.5,68 (493),0,1,178 lb,72 (255),165 (258),68 (111),135 (206),53 (10:47),16,,CrossFit Rustenburg,2:58,8:17,2:48,23:03,415,--,--,115 kg,86 kg,200 kg,150 kg,45
68,68,29,Justin Telles,http://games.crossfit.com/athlete/74536,1,70.0,68 (493),0,1,160 lb,68 (258),114 (260),126 (103),101 (209),84 (11:17),16,,CrossFit 965,0:00,0:00,0:00,0:00,0,0:00,0:00,0 lb,0 lb,0 lb,0 lb,0
69,69,23,Matthew Peter Garth Smith,http://games.crossfit.com/athlete/139794,1,70.47,70 (500),0,1,180 lb,82 (248),47 (340),57 (113),112 (208),202 (12:39),16,CFB Dragons,CrossFit Bedfordview,--,--,--,--,--,--,--,--,--,--,--,--
70,70,23,Eduan Viljoen,http://games.crossfit.com/athlete/226081,1,,71 (503),0,1,192 lb,144 (234),99 (261),24 (119),106 (209),130 (11:50),16,CrossFit Platinum Progenex,CrossFit Platinum,--,--,--,--,--,--,--,--,--,--,--,--
71,71,27,Najm Mamkegh,http://games.crossfit.com/athlete/312760,1,70.47,72 (515),0,1,200 lb,101 (244),53 (340),203 (101),109 (208),49 (10:42),16,962 Avengers,CrossFit 962,--,--,--,--,--,--,--,315 lb,230 lb,465 lb,445 lb,--
72,72,23,Hussain Al Bahbahani,http://games.crossfit.com/athlete/237322,1,71.26,73 (516),0,1,82 kg,54 (262),42 (340),112 (104),94 (210),214 (12:44),16,,CrossFit Q8,3:15,--,--,--,--,--,20:15,125 kg,105 kg,215 kg,180 kg,45
73,73,26,Milos Pesic,http://games.crossfit.com/athlete/558917,1,73.23,74 (575),0,1,192 lb,82 (248),62 (339),128 (103),240 (198),63 (10:57),16,,CrossFit 965,--,--,--,--,--,--,17:53,115 kg,95 kg,190 kg,160 kg,30
74,74,26,Mike Pantaleon,http://games.crossfit.com/athlete/3080,1,65.35,75 (578),0,1,165 lb,135 (236),52 (340),237 (100),113 (208),41 (10:31),16,crossfit sand warrrios,CrossFit Sand Warriors,0:00,0:00,0:00,0:00,--,0:00,0:00,0 kg,0 kg,0 kg,0 kg,--
75,75,29,Ben McAnnis-Entenman,http://games.crossfit.com/athlete/25270,1,75.0,76 (584),0,1,213 lb,107 (243),41 (340),141 (102),270 (196),25 (09:53),16,CrossFit Yas,CrossFit Yas,3:02,8:24,2:02,23:33,414,1:00,20:04,285 lb,235 lb,500 lb,460 lb,30
76,76,30,Tarek Trad,http://games.crossfit.com/athlete/173762,1,,77 (594),0,1,191 lb,112 (242),77 (339),249 (99),56 (221),100 (11:32),16,CrossFit FDT,CrossFit FDT,--,--,--,--,--,--,--,--,--,--,--,--
77,77,32,Paolo Nunes,http://games.crossfit.com/athlete/462965,1,,78 (596),0,1,162 lb,266 (217),61 (339),103 (105),46 (226),120 (11:43),16,CrossFit B4C,CrossFit B4C,--,--,--,--,--,--,--,--,--,--,--,--
78,78,31,Nadav Lavy,http://games.crossfit.com/athlete/106896,1,68.9,79 (598),0,1,200 lb,119 (240),125 (260),119 (103),143 (205),92 (11:27),16,Maccabeast team,CrossFit Hadar Yosef,3:30,8:20,3:00,--,350,--,24:00,290 lb,245 lb,470 lb,350 lb,50
79,79,23,Bernhard van Renssen,http://games.crossfit.com/athlete/565050,1,,80 (604),0,1,185 lb,40 (269),250 (256),29 (117),179 (203),106 (11:36),16,RTF CrossFit Repeat,RTF CrossFit Repeat,--,--,--,--,--,--,--,--,--,--,--,--
80,80,20,Schalk Burger,http://games.crossfit.com/athlete/480349,1,72.44,81 (610),0,1,210 lb,97 (246),147 (259),156 (102),110 (208),100 (11:32),16,,CrossFit Mossel Bay,3:39,--,2:43,--,330,--,--,125 kg,102 kg,220 kg,175 kg,30
81,81,25,Ruben Burger,http://games.crossfit.com/athlete/537562,1,,82 (612),0,1,198 lb,112 (242),448 (201),7 (129),10 (265),35 (10:21),16,,CrossFit Diaz,2:32,8:08,1:40,--,--,--,--,130 kg,100 kg,200 kg,165 kg,--
82,82,36,Stacy Jones,http://games.crossfit.com/athlete/12306,1,70.0,83 (622),0,1,203 lb,59 (260),96 (262),176 (101),147 (205),144 (11:59),16,,CrossFit Wadi,2:56,8:18,1:37,21:59,378,1:05,25:32,335 lb,260 lb,515 lb,475 lb,30
