Unnamed: 0,Unnamed: 0.1,Age,Athlete,Athlete_URL,Gender,Height,Finish,Score,Region,Weight,Wk1,Wk2,Wk3,Wk4,Wk5,Year,Team,Affiliate,Fran,Helen,Grace,Filthy_50,Fight_Gone_Bad,Sprint_400,Run_5k,Clean_And_Jerk,Snatch,Deadlift,Back_Squat,Max_Pullups,Place,Wk1_Place,Wk1_Score,Wk2_Place,Wk2_Score,Wk3_Place,Wk3_Score,Wk4_Place,Wk4_Score,Wk5_Place,Wk5_Score,User_ID,Reg_Finish,Reg_Place,Reg_Score,Reg_Wk1_Finish,Reg_Wk1_Place,Reg_Wk2_Finish,Reg_Wk2_Place,Reg_Wk3_Finish,Reg_Wk3_Place,Reg_Wk4_Finish,Reg_Wk4_Place,Regional,Regional_Name,Region_Name,Reg_Cutoff,Reg_Actual,Reg_Auto_Qualify,Reg_Actual_Qualify,Status,Status_Code
1121,21,24.0,Jake Lockert,http://games.crossfit.com/athlete/31640,1,74.0,1122 (8817),8817,6,209.0,755 (286),3285 (339),2011 (114),554 (256),2212 (10:36),16,CrossFit Mayhem Freedom,CrossFit Mayhem,178.0,,,,,,,300.0,235.0,505.0,405.0,25.0,1122,755,286,3285,339,2011,114,554,256,2212,636,31640,72 (569),72,569,54 (286),54,54 (286),54,54 (286),54,54 (286),54,3,Central,Central East,20,27,0,0,Out,0
1122,22,30.0,Jon Colborn,http://games.crossfit.com/athlete/6734,1,73.0,1123 (8830),8830,10,197.0,4344 (247),1558 (341),534 (123),1880 (236),514 (09:24),16,South Loop Strength and Conditioning,South Loop CrossFit,,471.0,109.0,,396.0,,,300.0,250.0,495.0,395.0,,1123,4344,247,1558,341,534,123,1880,236,514,564,6734,94 (776),94,776,368 (247),368,368 (247),368,368 (247),368,368 (247),368,3,Central,North Central,20,21,0,0,Out,0
1123,23,39.0,Terry Rose,http://games.crossfit.com/athlete/17342,1,71.0,1124 (8850),8850,13,210.0,7011 (236),564 (345),442 (124),260 (265),573 (09:29),16,CrossFit Olympia,CrossFit Olympia,137.0,503.0,128.0,1163.0,421.0,59.0,1290.0,265.0,215.0,550.0,465.0,72.0,1124,7011,236,564,345,442,124,260,265,573,569,17342,53 (384),53,384,315 (236),315,315 (236),315,315 (236),315,315 (236),315,8,West,North West,20,25,0,0,Out,0
1124,24,19.0,Chase Popp,http://games.crossfit.com/athlete/31565,1,72.0,1125 (8851),8851,17,192.0,1949 (268),1011 (343),2589 (112),1316 (243),1986 (10:30),16,,CrossFit Battle Ready,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,1125,1949,268,1011,343,2589,112,1316,243,1986,630,31565,35 (332),35,332,67 (268),67,67 (268),67,67 (268),67,67 (268),67,7,South,South West,20,24,0,0,Out,0
1125,25,32.0,John Hazdovac,http://games.crossfit.com/athlete/174276,1,67.0,1126 (8853),8853,17,194.0,2532 (263),1338 (342),970 (117),2027 (235),1986 (10:30),16,Chuckwalla,Chuckwalla CrossFit,149.0,,,,,,,,,515.0,455.0,,1126,2532,263,1338,342,970,117,2027,235,1986,630,174276,31 (314),31,314,89 (263),89,89 (263),89,89 (263),89,89 (263),89,7,South,South West,20,24,0,0,Out,0
1126,26,24.0,Richie Peckfelder,http://games.crossfit.com/athlete/136857,1,69.0,1127 (8860),8860,12,195.0,2449 (264),3687 (263),983 (117),1343 (243),398 (09:15),16,New Era CF,New Era CrossFit,191.0,625.0,,,303.0,,,325.0,265.0,505.0,460.0,,1127,2449,264,3687,263,983,117,1343,243,398,555,136857,50 (390),50,390,109 (264),109,109 (264),109,109 (264),109,109 (264),109,2,California,NorCal,20,28,0,0,Out,0
1127,27,25.0,Martin Roy,http://games.crossfit.com/athlete/22480,1,70.0,1128 (8862),8862,4,198.0,2869 (260),3035 (339),585 (122),1696 (239),677 (09:36),16,ShopCrossfit,Shop CrossFit,133.0,,97.0,995.0,0.0,,1440.0,305.0,240.0,450.0,365.0,50.0,1128,2869,260,3035,339,585,122,1696,239,677,576,22480,62 (445),62,445,124 (260),124,124 (260),124,124 (260),124,124 (260),124,4,East,Canada East,20,24,0,0,Out,0
1128,28,29.0,Tim Leonardo,http://games.crossfit.com/athlete/108956,1,70.0,1129 (8863),8863,11,,2058 (267),1379 (342),1317 (116),1479 (241),2630 (10:46),16,CrossFit Garden City,CrossFit Garden City,165.0,465.0,116.0,,390.0,66.0,1235.0,305.0,230.0,455.0,415.0,40.0,1129,2058,267,1379,342,1317,116,1479,241,2630,646,108956,113 (849),113,849,196 (267),196,196 (267),196,196 (267),196,196 (267),196,4,East,North East,20,20,0,0,Out,0
1129,29,34.0,Dan Staton,http://games.crossfit.com/athlete/6555,1,66.0,1130 (8864),8864,13,155.0,1372 (273),1473 (341),3039 (110),1668 (239),1312 (10:06),16,Spokane Valley,CrossFit Spokane Valley,135.0,,111.0,,410.0,,,285.0,215.0,475.0,375.0,66.0,1130,1372,273,1473,341,3039,110,1668,239,1312,606,6555,49 (362),49,362,49 (273),49,49 (273),49,49 (273),49,49 (273),49,8,West,North West,20,25,0,0,Out,0
1130,30,26.0,Zac Atkins,http://games.crossfit.com/athlete/106080,1,68.0,1131 (8869),8869,14,165.0,755 (286),2624 (339),1059 (117),3883 (216),548 (09:27),16,Rejoice,CrossFit Rejoice,185.0,468.0,113.0,,,,1185.0,290.0,225.0,440.0,380.0,39.0,1131,755,286,2624,339,1059,117,3883,216,548,567,106080,87 (668),87,668,53 (286),53,53 (286),53,53 (286),53,53 (286),53,7,South,South Central,20,25,0,0,Out,0
