,Unnamed: 0,Unnamed: 0.1,Athlete,Athlete_URL,Games_Finish,Year,Games_Score,Games_Place,Division,Event_#,Event_ID,Event_Place,Event_Points,Event_Raw_Score,Event_Score
26,26,26,Joey Warren,http://games.crossfit.com/athlete/11644,27 (396),2012,396.0,27,1,1,2012_01,33,24.0,00:52:51,3171.0
27,27,27,Phillip Kniep,http://games.crossfit.com/athlete/11826,28 (394),2012,394.0,28,1,1,2012_01,41,16.0,00:55:07,3307.0
28,28,28,Guido Trinidad,http://games.crossfit.com/athlete/30180,29 (383),2012,383.0,29,1,1,2012_01,43,14.0,00:56:10,3370.0
29,29,29,Frederik Aegidius,http://games.crossfit.com/athlete/18543,30 (382),2012,382.0,30,1,1,2012_01,20,47.0,00:49:04,2944.0
30,30,30,Jeremy Kinnick,http://games.crossfit.com/athlete/35012,31 (382),2012,382.0,31,1,1,2012_01,13,61.0,00:48:33,2913.0
31,31,31,Mikko Aronpää,http://games.crossfit.com/athlete/10822,32 (374),2012,374.0,32,1,1,2012_01,8,71.0,00:48:03,2883.0
32,32,32,Daniel Hershey,http://games.crossfit.com/athlete/2615,33 (357),2012,357.0,33,1,1,2012_01,4,85.0,00:45:20,2720.0
33,33,33,Austin Stack,http://games.crossfit.com/athlete/31873,34 (353),2012,353.0,34,1,1,2012_01,10,67.0,00:48:22,2902.0
34,34,34,Rob Forte,http://games.crossfit.com/athlete/7285,35 (345),2012,345.0,35,1,1,2012_01,7,73.0,00:47:58,2878.0
35,35,35,David Levey,http://games.crossfit.com/athlete/8743,36 (323),2012,323.0,36,1,1,2012_01,6,75.0,00:47:31,2851.0
36,36,36,Kevin Simons,http://games.crossfit.com/athlete/42206,37 (297),2012,297.0,37,1,1,2012_01,40,17.0,00:54:49,3289.0
37,37,37,Jason Hoggan,http://games.crossfit.com/athlete/5718,38 (284),2012,284.0,38,1,1,2012_01,37,20.0,00:53:49,3229.0
38,38,38,Matthew Lefave,http://games.crossfit.com/athlete/18006,39 (257),2012,257.0,39,1,1,2012_01,23,41.0,00:49:47,2987.0
39,39,39,Jeremy Meredith,http://games.crossfit.com/athlete/5296,40 (247),2012,247.0,40,1,1,2012_01,38,19.0,00:53:54,3234.0
40,40,40,Brandon Swan,http://games.crossfit.com/athlete/7314,41 (242),2012,242.0,41,1,1,2012_01,19,49.0,00:49:00,2940.0
41,41,41,Brandon Phillips,http://games.crossfit.com/athlete/8067,42 (233),2012,233.0,42,1,1,2012_01,24,39.0,00:50:02,3002.0
42,42,42,Bryan Diaz,http://games.crossfit.com/athlete/20717,43 (199),2012,199.0,43,1,1,2012_01,45,12.0,01:18:24,4704.0
43,43,43,Yurii Hanson,http://games.crossfit.com/athlete/24538,44 (192),2012,192.0,44,1,1,2012_01,39,18.0,00:53:59,3239.0
44,44,44,Brian Quinlan,http://games.crossfit.com/athlete/3008,45 (166),2012,166.0,45,1,1,2012_01,29,29.0,00:51:44,3104.0
45,45,45,Orlando Trejo,http://games.crossfit.com/athlete/42803,46 (),2012,,46,1,1,2012_01,WD,,nan,
46,0,0,Rich Froning,http://games.crossfit.com/athlete/11435,1 (1089),2012,1089.0,1,1,2,2012_02,12,63.0,02:06:00,7560.0
47,1,1,Matt Chan,http://games.crossfit.com/athlete/17703,2 (975),2012,975.0,2,1,2,2012_02,17,53.0,02:07:16,7636.0
48,2,2,Kyle Kasperbauer,http://games.crossfit.com/athlete/25569,3 (930),2012,930.0,3,1,2,2012_02,3,90.0,02:01:54,7314.0
49,3,3,Scott Panchik,http://games.crossfit.com/athlete/34796,4 (892),2012,892.0,4,1,2,2012_02,4,85.0,02:02:32,7352.0
50,4,4,Jason Khalipa,http://games.crossfit.com/athlete/12485,5 (885),2012,885.0,5,1,2,2012_02,31,26.0,02:16:16,8176.0
51,5,5,Dan Bailey,http://games.crossfit.com/athlete/47661,6 (860),2012,860.0,6,1,2,2012_02,24,39.0,02:10:37,7837.0
52,6,6,Marcus Hendren,http://games.crossfit.com/athlete/16421,7 (846),2012,846.0,7,1,2,2012_02,20,47.0,02:09:35,7775.0
53,7,7,Austin Malleolo,http://games.crossfit.com/athlete/10169,8 (840),2012,840.0,8,1,2,2012_02,11,65.0,02:05:35,7535.0
54,8,8,Chad Mackay,http://games.crossfit.com/athlete/51041,9 (829),2012,829.0,9,1,2,2012_02,1,100.0,01:57:33,7053.0
55,9,9,Graham Holmberg,http://games.crossfit.com/athlete/11451,10 (813),2012,813.0,10,1,2,2012_02,21,45.0,02:09:36,7776.0
56,10,10,Ben Smith,http://games.crossfit.com/athlete/43761,11 (808),2012,808.0,11,1,2,2012_02,5,80.0,02:02:37,7357.0
57,11,11,Nate Schrader,http://games.crossfit.com/athlete/53314,12 (801),2012,801.0,12,1,2,2012_02,41,16.0,02:26:38,8798.0
58,12,12,Spencer Hendel,http://games.crossfit.com/athlete/50866,13 (735),2012,735.0,13,1,2,2012_02,29,29.0,02:14:26,8066.0
59,13,13,Daniel Tyminski,http://games.crossfit.com/athlete/5284,14 (701),2012,701.0,14,1,2,2012_02,13,61.0,02:06:13,7573.0
60,14,14,Lucas Parker,http://games.crossfit.com/athlete/38209,15 (685),2012,685.0,15,1,2,2012_02,38,19.0,02:24:12,8652.0
61,15,15,Patrick Burke,http://games.crossfit.com/athlete/15617,16 (608),2012,608.0,16,1,2,2012_02,7,73.0,02:03:06,7386.0
62,16,16,Kenneth Leverich,http://games.crossfit.com/athlete/21343,17 (604),2012,604.0,17,1,2,2012_02,16,55.0,02:07:04,7624.0
63,17,17,Gabe Subry,http://games.crossfit.com/athlete/8496,18 (604),2012,604.0,18,1,2,2012_02,15,57.0,02:06:46,7606.0
64,18,18,Chase Daniels,http://games.crossfit.com/athlete/9241,19 (531),2012,531.0,19,1,2,2012_02,6,75.0,02:02:46,7366.0
65,19,19,Neal Maddox,http://games.crossfit.com/athlete/24156,20 (527),2012,527.0,20,1,2,2012_02,33,24.0,02:18:04,8284.0
66,20,20,Aja Barto,http://games.crossfit.com/athlete/36154,21 (519),2012,519.0,21,1,2,2012_02,40,17.0,02:25:35,8735.0
67,21,21,Chris Spealler,http://games.crossfit.com/athlete/27065,22 (495),2012,495.0,22,1,2,2012_02,44,13.0,02:41:11,9671.0
68,22,22,Jon Pera,http://games.crossfit.com/athlete/31660,23 (495),2012,495.0,23,1,2,2012_02,14,59.0,02:06:24,7584.0
69,23,23,Númi S. Katrínarson,http://games.crossfit.com/athlete/11391,24 (471),2012,471.0,24,1,2,2012_02,2,95.0,01:59:16,7156.0
70,24,24,Albert-Dominic Larouche,http://games.crossfit.com/athlete/49510,25 (421),2012,421.0,25,1,2,2012_02,36,21.0,02:19:26,8366.0
71,25,25,Justin Allen,http://games.crossfit.com/athlete/1819,26 (397),2012,397.0,26,1,2,2012_02,37,20.0,02:23:15,8595.0
72,26,26,Joey Warren,http://games.crossfit.com/athlete/11644,27 (396),2012,396.0,27,1,2,2012_02,27,33.0,02:13:37,8017.0
73,27,27,Phillip Kniep,http://games.crossfit.com/athlete/11826,28 (394),2012,394.0,28,1,2,2012_02,34,23.0,02:18:24,8304.0
74,28,28,Guido Trinidad,http://games.crossfit.com/athlete/30180,29 (383),2012,383.0,29,1,2,2012_02,32,25.0,02:16:26,8186.0
75,29,29,Frederik Aegidius,http://games.crossfit.com/athlete/18543,30 (382),2012,382.0,30,1,2,2012_02,22,43.0,02:09:46,7786.0
76,30,30,Jeremy Kinnick,http://games.crossfit.com/athlete/35012,31 (382),2012,382.0,31,1,2,2012_02,26,35.0,02:13:05,7985.0
77,31,31,Mikko Aronpää,http://games.crossfit.com/athlete/10822,32 (374),2012,374.0,32,1,2,2012_02,8,71.0,02:04:36,7476.0
78,32,32,Daniel Hershey,http://games.crossfit.com/athlete/2615,33 (357),2012,357.0,33,1,2,2012_02,9,69.0,02:05:15,7515.0
79,33,33,Austin Stack,http://games.crossfit.com/athlete/31873,34 (353),2012,353.0,34,1,2,2012_02,25,37.0,02:12:23,7943.0
80,34,34,Rob Forte,http://games.crossfit.com/athlete/7285,35 (345),2012,345.0,35,1,2,2012_02,10,67.0,02:05:23,7523.0
81,35,35,David Levey,http://games.crossfit.com/athlete/8743,36 (323),2012,323.0,36,1,2,2012_02,23,41.0,02:10:12,7812.0
82,36,36,Kevin Simons,http://games.crossfit.com/athlete/42206,37 (297),2012,297.0,37,1,2,2012_02,42,15.0,02:32:50,9170.0
83,37,37,Jason Hoggan,http://games.crossfit.com/athlete/5718,38 (284),2012,284.0,38,1,2,2012_02,18,51.0,02:07:56,7676.0
84,38,38,Matthew Lefave,http://games.crossfit.com/athlete/18006,39 (257),2012,257.0,39,1,2,2012_02,19,49.0,02:08:06,7686.0
85,39,39,Jeremy Meredith,http://games.crossfit.com/athlete/5296,40 (247),2012,247.0,40,1,2,2012_02,39,18.0,02:24:44,8684.0
86,40,40,Brandon Swan,http://games.crossfit.com/athlete/7314,41 (242),2012,242.0,41,1,2,2012_02,28,31.0,02:14:10,8050.0
87,41,41,Brandon Phillips,http://games.crossfit.com/athlete/8067,42 (233),2012,233.0,42,1,2,2012_02,35,22.0,02:19:19,8359.0
88,42,42,Bryan Diaz,http://games.crossfit.com/athlete/20717,43 (199),2012,199.0,43,1,2,2012_02,45,12.0,03:00:41,10841.0
89,43,43,Yurii Hanson,http://games.crossfit.com/athlete/24538,44 (192),2012,192.0,44,1,2,2012_02,43,14.0,02:39:59,9599.0
90,44,44,Brian Quinlan,http://games.crossfit.com/athlete/3008,45 (166),2012,166.0,45,1,2,2012_02,30,27.0,02:15:15,8115.0
91,45,45,Orlando Trejo,http://games.crossfit.com/athlete/42803,46 (),2012,,46,1,2,2012_02,WD,,nan,
92,0,0,Rich Froning,http://games.crossfit.com/athlete/11435,1 (1089),2012,1089.0,1,1,3,2012_03,3,90.0,36.51,36.51
93,1,1,Matt Chan,http://games.crossfit.com/athlete/17703,2 (975),2012,975.0,2,1,3,2012_03,21,45.0,43.65,43.65
94,2,2,Kyle Kasperbauer,http://games.crossfit.com/athlete/25569,3 (930),2012,930.0,3,1,3,2012_03,8,71.0,38.32,38.32
95,3,3,Scott Panchik,http://games.crossfit.com/athlete/34796,4 (892),2012,892.0,4,1,3,2012_03,32,25.0,47.47,47.47
96,4,4,Jason Khalipa,http://games.crossfit.com/athlete/12485,5 (885),2012,885.0,5,1,3,2012_03,23,41.0,43.77,43.77
97,5,5,Dan Bailey,http://games.crossfit.com/athlete/47661,6 (860),2012,860.0,6,1,3,2012_03,16,55.0,44.19,44.19
98,6,6,Marcus Hendren,http://games.crossfit.com/athlete/16421,7 (846),2012,846.0,7,1,3,2012_03,17,53.0,40.53,40.53
99,7,7,Austin Malleolo,http://games.crossfit.com/athlete/10169,8 (840),2012,840.0,8,1,3,2012_03,31,26.0,46.52,46.52
100,8,8,Chad Mackay,http://games.crossfit.com/athlete/51041,9 (829),2012,829.0,9,1,3,2012_03,20,47.0,42.4,42.4
101,9,9,Graham Holmberg,http://games.crossfit.com/athlete/11451,10 (813),2012,813.0,10,1,3,2012_03,5,80.0,37.63,37.63
102,10,10,Ben Smith,http://games.crossfit.com/athlete/43761,11 (808),2012,808.0,11,1,3,2012_03,18,51.0,41.01,41.01
103,11,11,Nate Schrader,http://games.crossfit.com/athlete/53314,12 (801),2012,801.0,12,1,3,2012_03,14,59.0,42.21,42.21
104,12,12,Spencer Hendel,http://games.crossfit.com/athlete/50866,13 (735),2012,735.0,13,1,3,2012_03,1,100.0,33.1,33.1
105,13,13,Daniel Tyminski,http://games.crossfit.com/athlete/5284,14 (701),2012,701.0,14,1,3,2012_03,38,19.0,50.6,50.6
106,14,14,Lucas Parker,http://games.crossfit.com/athlete/38209,15 (685),2012,685.0,15,1,3,2012_03,7,73.0,37.77,37.77
107,15,15,Patrick Burke,http://games.crossfit.com/athlete/15617,16 (608),2012,608.0,16,1,3,2012_03,4,85.0,37.02,37.02
108,16,16,Kenneth Leverich,http://games.crossfit.com/athlete/21343,17 (604),2012,604.0,17,1,3,2012_03,2,95.0,34.78,34.78
109,17,17,Gabe Subry,http://games.crossfit.com/athlete/8496,18 (604),2012,604.0,18,1,3,2012_03,9,69.0,38.4,38.4
110,18,18,Chase Daniels,http://games.crossfit.com/athlete/9241,19 (531),2012,531.0,19,1,3,2012_03,27,33.0,44.59,44.59
111,19,19,Neal Maddox,http://games.crossfit.com/athlete/24156,20 (527),2012,527.0,20,1,3,2012_03,10,67.0,38.89,38.89
112,20,20,Aja Barto,http://games.crossfit.com/athlete/36154,21 (519),2012,519.0,21,1,3,2012_03,6,75.0,37.75,37.75
113,21,21,Chris Spealler,http://games.crossfit.com/athlete/27065,22 (495),2012,495.0,22,1,3,2012_03,11,65.0,39.5,39.5
114,22,22,Jon Pera,http://games.crossfit.com/athlete/31660,23 (495),2012,495.0,23,1,3,2012_03,28,31.0,44.85,44.85
115,23,23,Númi S. Katrínarson,http://games.crossfit.com/athlete/11391,24 (471),2012,471.0,24,1,3,2012_03,33,24.0,48.01,48.01
116,24,24,Albert-Dominic Larouche,http://games.crossfit.com/athlete/49510,25 (421),2012,421.0,25,1,3,2012_03,25,37.0,44.08,44.08
117,25,25,Justin Allen,http://games.crossfit.com/athlete/1819,26 (397),2012,397.0,26,1,3,2012_03,15,57.0,43.16,43.16
118,26,26,Joey Warren,http://games.crossfit.com/athlete/11644,27 (396),2012,396.0,27,1,3,2012_03,35,22.0,49.46,49.46
119,27,27,Phillip Kniep,http://games.crossfit.com/athlete/11826,28 (394),2012,394.0,28,1,3,2012_03,13,61.0,42.06,42.06
120,28,28,Guido Trinidad,http://games.crossfit.com/athlete/30180,29 (383),2012,383.0,29,1,3,2012_03,12,63.0,40.03,40.03
121,29,29,Frederik Aegidius,http://games.crossfit.com/athlete/18543,30 (382),2012,382.0,30,1,3,2012_03,26,35.0,44.08,44.08
122,30,30,Jeremy Kinnick,http://games.crossfit.com/athlete/35012,31 (382),2012,382.0,31,1,3,2012_03,19,49.0,41.7,41.7
123,31,31,Mikko Aronpää,http://games.crossfit.com/athlete/10822,32 (374),2012,374.0,32,1,3,2012_03,29,29.0,45.15,45.15
124,32,32,Daniel Hershey,http://games.crossfit.com/athlete/2615,33 (357),2012,357.0,33,1,3,2012_03,36,21.0,50.12,50.12
125,33,33,Austin Stack,http://games.crossfit.com/athlete/31873,34 (353),2012,353.0,34,1,3,2012_03,22,43.0,43.75,43.75
126,34,34,Rob Forte,http://games.crossfit.com/athlete/7285,35 (345),2012,345.0,35,1,3,2012_03,30,27.0,45.88,45.88
127,35,35,David Levey,http://games.crossfit.com/athlete/8743,36 (323),2012,323.0,36,1,3,2012_03,37,20.0,50.33,50.33
128,36,36,Kevin Simons,http://games.crossfit.com/athlete/42206,37 (297),2012,297.0,37,1,3,2012_03,24,39.0,44.01,44.01
129,37,37,Jason Hoggan,http://games.crossfit.com/athlete/5718,38 (284),2012,284.0,38,1,3,2012_03,42,15.0,61.63,61.63
130,38,38,Matthew Lefave,http://games.crossfit.com/athlete/18006,39 (257),2012,257.0,39,1,3,2012_03,34,23.0,48.63,48.63
131,39,39,Jeremy Meredith,http://games.crossfit.com/athlete/5296,40 (247),2012,247.0,40,1,3,2012_03,39,18.0,51.93,51.93
132,40,40,Brandon Swan,http://games.crossfit.com/athlete/7314,41 (242),2012,242.0,41,1,3,2012_03,44,13.0,62.22,62.22
133,41,41,Brandon Phillips,http://games.crossfit.com/athlete/8067,42 (233),2012,233.0,42,1,3,2012_03,41,16.0,59.47,59.47
134,42,42,Bryan Diaz,http://games.crossfit.com/athlete/20717,43 (199),2012,199.0,43,1,3,2012_03,43,14.0,61.95,61.95
135,43,43,Yurii Hanson,http://games.crossfit.com/athlete/24538,44 (192),2012,192.0,44,1,3,2012_03,40,17.0,52.13,52.13
136,44,44,Brian Quinlan,http://games.crossfit.com/athlete/3008,45 (166),2012,166.0,45,1,3,2012_03,45,12.0,62.57,62.57
137,45,45,Orlando Trejo,http://games.crossfit.com/athlete/42803,46 (),2012,,46,1,3,2012_03,WD,,nan,
138,0,0,Rich Froning,http://games.crossfit.com/athlete/11435,1 (1089),2012,1089.0,1,1,4,2012_04,16,31.0,104.00 in,104.00
139,1,1,Matt Chan,http://games.crossfit.com/athlete/17703,2 (975),2012,975.0,2,1,4,2012_04,10,37.0,106.50 in,106.50
140,2,2,Kyle Kasperbauer,http://games.crossfit.com/athlete/25569,3 (930),2012,930.0,3,1,4,2012_04,14,33.0,105.50 in,105.50
141,3,3,Scott Panchik,http://games.crossfit.com/athlete/34796,4 (892),2012,892.0,4,1,4,2012_04,20,27.0,102.50 in,102.50
142,4,4,Jason Khalipa,http://games.crossfit.com/athlete/12485,5 (885),2012,885.0,5,1,4,2012_04,26,21.0,98.50 in,98.50
143,5,5,Dan Bailey,http://games.crossfit.com/athlete/47661,6 (860),2012,860.0,6,1,4,2012_04,12,35.0,106.00 in,106.00
144,6,6,Marcus Hendren,http://games.crossfit.com/athlete/16421,7 (846),2012,846.0,7,1,4,2012_04,18,29.0,103.00 in,103.00
145,7,7,Austin Malleolo,http://games.crossfit.com/athlete/10169,8 (840),2012,840.0,8,1,4,2012_04,25,22.0,99.50 in,99.50
146,8,8,Chad Mackay,http://games.crossfit.com/athlete/51041,9 (829),2012,829.0,9,1,4,2012_04,24,23.0,100.00 in,100.00
147,9,9,Graham Holmberg,http://games.crossfit.com/athlete/11451,10 (813),2012,813.0,10,1,4,2012_04,9,38.0,108.00 in,108.00
148,10,10,Ben Smith,http://games.crossfit.com/athlete/43761,11 (808),2012,808.0,11,1,4,2012_04,8,39.0,108.50 in,108.50
149,11,11,Nate Schrader,http://games.crossfit.com/athlete/53314,12 (801),2012,801.0,12,1,4,2012_04,1,50.0,117.00 in,117.00
150,12,12,Spencer Hendel,http://games.crossfit.com/athlete/50866,13 (735),2012,735.0,13,1,4,2012_04,2,48.0,115.50 in,115.50
151,13,13,Daniel Tyminski,http://games.crossfit.com/athlete/5284,14 (701),2012,701.0,14,1,4,2012_04,37,10.0,91.00 in,91.00
152,14,14,Lucas Parker,http://games.crossfit.com/athlete/38209,15 (685),2012,685.0,15,1,4,2012_04,4,44.0,112.00 in,112.00
153,15,15,Patrick Burke,http://games.crossfit.com/athlete/15617,16 (608),2012,608.0,16,1,4,2012_04,31,16.0,95.50 in,95.50
154,16,16,Kenneth Leverich,http://games.crossfit.com/athlete/21343,17 (604),2012,604.0,17,1,4,2012_04,5,42.0,110.50 in,110.50
155,17,17,Gabe Subry,http://games.crossfit.com/athlete/8496,18 (604),2012,604.0,18,1,4,2012_04,34,13.0,93.00 in,93.00
156,18,18,Chase Daniels,http://games.crossfit.com/athlete/9241,19 (531),2012,531.0,19,1,4,2012_04,35,12.0,92.50 in,92.50
157,19,19,Neal Maddox,http://games.crossfit.com/athlete/24156,20 (527),2012,527.0,20,1,4,2012_04,6,41.0,110.00 in,110.00
158,20,20,Aja Barto,http://games.crossfit.com/athlete/36154,21 (519),2012,519.0,21,1,4,2012_04,3,46.0,114.00 in,114.00
159,21,21,Chris Spealler,http://games.crossfit.com/athlete/27065,22 (495),2012,495.0,22,1,4,2012_04,18,29.0,103.00 in,103.00
160,22,22,Jon Pera,http://games.crossfit.com/athlete/31660,23 (495),2012,495.0,23,1,4,2012_04,27,20.0,97.50 in,97.50
161,23,23,Númi S. Katrínarson,http://games.crossfit.com/athlete/11391,24 (471),2012,471.0,24,1,4,2012_04,36,11.0,91.50 in,91.50
162,24,24,Albert-Dominic Larouche,http://games.crossfit.com/athlete/49510,25 (421),2012,421.0,25,1,4,2012_04,39,8.0,90.00 in,90.00
163,25,25,Justin Allen,http://games.crossfit.com/athlete/1819,26 (397),2012,397.0,26,1,4,2012_04,7,40.0,109.50 in,109.50
164,26,26,Joey Warren,http://games.crossfit.com/athlete/11644,27 (396),2012,396.0,27,1,4,2012_04,15,32.0,104.50 in,104.50
165,27,27,Phillip Kniep,http://games.crossfit.com/athlete/11826,28 (394),2012,394.0,28,1,4,2012_04,44,3.0,74.00 in,74.00
166,28,28,Guido Trinidad,http://games.crossfit.com/athlete/30180,29 (383),2012,383.0,29,1,4,2012_04,23,24.0,101.50 in,101.50
167,29,29,Frederik Aegidius,http://games.crossfit.com/athlete/18543,30 (382),2012,382.0,30,1,4,2012_04,31,16.0,95.50 in,95.50
168,30,30,Jeremy Kinnick,http://games.crossfit.com/athlete/35012,31 (382),2012,382.0,31,1,4,2012_04,37,10.0,91.00 in,91.00
169,31,31,Mikko Aronpää,http://games.crossfit.com/athlete/10822,32 (374),2012,374.0,32,1,4,2012_04,29,18.0,97.00 in,97.00
170,32,32,Daniel Hershey,http://games.crossfit.com/athlete/2615,33 (357),2012,357.0,33,1,4,2012_04,22,25.0,102.00 in,102.00
171,33,33,Austin Stack,http://games.crossfit.com/athlete/31873,34 (353),2012,353.0,34,1,4,2012_04,42,5.0,83.00 in,83.00
172,34,34,Rob Forte,http://games.crossfit.com/athlete/7285,35 (345),2012,345.0,35,1,4,2012_04,43,4.0,82.50 in,82.50
173,35,35,David Levey,http://games.crossfit.com/athlete/8743,36 (323),2012,323.0,36,1,4,2012_04,30,17.0,96.50 in,96.50
174,36,36,Kevin Simons,http://games.crossfit.com/athlete/42206,37 (297),2012,297.0,37,1,4,2012_04,10,37.0,106.50 in,106.50
175,37,37,Jason Hoggan,http://games.crossfit.com/athlete/5718,38 (284),2012,284.0,38,1,4,2012_04,12,35.0,106.00 in,106.00
176,38,38,Matthew Lefave,http://games.crossfit.com/athlete/18006,39 (257),2012,257.0,39,1,4,2012_04,16,31.0,104.00 in,104.00
177,39,39,Jeremy Meredith,http://games.crossfit.com/athlete/5296,40 (247),2012,247.0,40,1,4,2012_04,20,27.0,102.50 in,102.50
178,40,40,Brandon Swan,http://games.crossfit.com/athlete/7314,41 (242),2012,242.0,41,1,4,2012_04,41,6.0,87.00 in,87.00
179,41,41,Brandon Phillips,http://games.crossfit.com/athlete/8067,42 (233),2012,233.0,42,1,4,2012_04,27,20.0,97.50 in,97.50
180,42,42,Bryan Diaz,http://games.crossfit.com/athlete/20717,43 (199),2012,199.0,43,1,4,2012_04,40,7.0,88.00 in,88.00
181,43,43,Yurii Hanson,http://games.crossfit.com/athlete/24538,44 (192),2012,192.0,44,1,4,2012_04,33,14.0,94.00 in,94.00
182,44,44,Brian Quinlan,http://games.crossfit.com/athlete/3008,45 (166),2012,166.0,45,1,4,2012_04,45,2.0,66.50 in,66.50
183,45,45,Orlando Trejo,http://games.crossfit.com/athlete/42803,46 (),2012,,46,1,4,2012_04,WD,,nan,
184,0,0,Rich Froning,http://games.crossfit.com/athlete/11435,1 (1089),2012,1089.0,1,1,5,2012_05,3,46.0,68 pt,68
185,1,1,Matt Chan,http://games.crossfit.com/athlete/17703,2 (975),2012,975.0,2,1,5,2012_05,2,48.0,69 pt,69
186,2,2,Kyle Kasperbauer,http://games.crossfit.com/athlete/25569,3 (930),2012,930.0,3,1,5,2012_05,16,31.0,63 pt,63
187,3,3,Scott Panchik,http://games.crossfit.com/athlete/34796,4 (892),2012,892.0,4,1,5,2012_05,19,28.0,61 pt,61
188,4,4,Jason Khalipa,http://games.crossfit.com/athlete/12485,5 (885),2012,885.0,5,1,5,2012_05,24,23.0,56 pt,56
189,5,5,Dan Bailey,http://games.crossfit.com/athlete/47661,6 (860),2012,860.0,6,1,5,2012_05,4,44.0,67 pt,67
190,6,6,Marcus Hendren,http://games.crossfit.com/athlete/16421,7 (846),2012,846.0,7,1,5,2012_05,9,38.0,65 pt,65
191,7,7,Austin Malleolo,http://games.crossfit.com/athlete/10169,8 (840),2012,840.0,8,1,5,2012_05,28,19.0,55 pt,55
192,8,8,Chad Mackay,http://games.crossfit.com/athlete/51041,9 (829),2012,829.0,9,1,5,2012_05,1,50.0,72 pt,72
