,Age,Athlete,Athlete_URL,Gender,Height,Reg_Place,Reg_Score,Region,Weight,Wk1,Wk2,Wk3,Wk4,Wk5,Year
3,0,Nathan Trevillian,http://games.crossfit.com/athlete/3737,1,0,4 (80),0,9,0,9 (312),17 (424),12 (127),12 (266),30 (09:15),16
4,0,Gary Helmick,http://games.crossfit.com/athlete/44402,1,0,5 (90),0,9,0,44 (288),22 (423),11 (127),6 (273),7 (08:45),16
5,0,Eric Oxley,http://games.crossfit.com/athlete/21643,1,0,6 (95),0,9,0,27 (296),20 (424),19 (125),8 (271),21 (09:04),16
6,0,Chandler Smith,http://games.crossfit.com/athlete/469626,1,0,7 (97),0,9,0,1 (326),28 (423),46 (118),9 (271),13 (09:00),16
7,0,Lex Ozias,http://games.crossfit.com/athlete/306487,1,0,8 (99),0,9,0,6 (318),3 (428),42 (119),46 (255),2 (08:08),16
8,0,Jordan Troyan,http://games.crossfit.com/athlete/4895,1,0,9 (100),0,9,0,9 (312),14 (424),39 (120),23 (261),15 (09:01),16
9,0,Kent Ingalls,http://games.crossfit.com/athlete/6151,1,0,10 (117),0,9,0,22 (298),7 (426),48 (117),13 (266),27 (09:10),16
0,0,Jacob Heppner,http://games.crossfit.com/athlete/199938,1,0,1 (15),0,10,0,1 (350),5 (427),1 (140),7 (276),1 (07:53),16
1,0,Zak Carchedi,http://games.crossfit.com/athlete/96973,1,0,2 (31),0,10,0,8 (318),6 (427),4 (138),11 (275),2 (08:01),16
2,0,Jack Long,http://games.crossfit.com/athlete/354850,1,0,3 (45),0,10,0,7 (319),1 (430),7 (134),14 (271),16 (08:57),16
3,0,Sam Dancer,http://games.crossfit.com/athlete/621610,1,0,4 (57),0,10,0,32 (299),7 (427),5 (137),2 (287),11 (08:36),16
4,0,Andrew Kuechler,http://games.crossfit.com/athlete/499296,1,0,5 (91),0,10,0,3 (344),17 (425),63 (122),1 (314),7 (08:23),16
5,0,Bobby Noyce,http://games.crossfit.com/athlete/8385,1,0,6 (100),0,10,0,5 (325),35 (423),8 (134),8 (276),44 (09:24),16
6,0,Dylan Martin,http://games.crossfit.com/athlete/243026,1,0,7 (102),0,10,0,22 (303),31 (423),27 (127),6 (279),16 (08:57),16
7,0,Joe Piersanti,http://games.crossfit.com/athlete/251459,1,0,8 (106),0,10,0,58 (291),11 (426),17 (128),10 (275),10 (08:34),16
8,0,Brandon Pastorek,http://games.crossfit.com/athlete/11337,1,0,9 (116),0,10,0,46 (294),3 (430),30 (127),24 (262),13 (08:51),16
9,0,Casey McCallister,http://games.crossfit.com/athlete/98474,1,0,10 (117),0,10,0,19 (304),30 (423),35 (127),18 (265),15 (08:55),16
0,0,Mathew Fraser,http://games.crossfit.com/athlete/153604,1,0,1 (11),0,11,0,2 (324),1 (430),1 (141),6 (284),1 (08:06),16
1,0,Chase Smith,http://games.crossfit.com/athlete/105536,1,0,2 (38),0,11,0,9 (313),2 (430),3 (136),17 (274),7 (08:21),16
2,0,Anthony Vazquez,http://games.crossfit.com/athlete/230948,1,0,3 (41),0,11,0,16 (310),8 (427),7 (131),7 (283),3 (08:15),16
3,0,Daniel Tyminski,http://games.crossfit.com/athlete/5284,1,0,4 (60),0,11,0,22 (305),4 (428),11 (129),5 (287),18 (08:44),16
4,0,Nicholas DelGrande,http://games.crossfit.com/athlete/5456,1,0,5 (61),0,11,0,4 (319),12 (426),27 (127),3 (294),15 (08:43),16
5,0,Zachary Moran,http://games.crossfit.com/athlete/485312,1,0,6 (63),0,11,0,1 (336),34 (423),5 (135),18 (271),5 (08:16),16
6,0,Austin Malleolo,http://games.crossfit.com/athlete/10169,1,0,7 (66),0,11,0,31 (300),16 (425),17 (128),1 (314),1 (08:06),16
7,0,Tim Paulson,http://games.crossfit.com/athlete/20698,1,0,8 (69),0,11,0,22 (305),10 (427),10 (129),4 (292),23 (08:50),16
8,0,Tyler Armstrong,http://games.crossfit.com/athlete/117704,1,0,9 (82),0,11,0,5 (318),30 (423),13 (129),23 (268),11 (08:38),16
9,0,Sean Fox,http://games.crossfit.com/athlete/97091,1,0,10 (96),0,11,0,5 (318),31 (423),2 (141),9 (280),49 (09:15),16
0,0,Dakota Rager,http://games.crossfit.com/athlete/102327,1,0,1 (41),0,12,0,2 (315),9 (423),6 (128),22 (255),2 (08:10),16
1,0,Marcus Filly,http://games.crossfit.com/athlete/13913,1,0,2 (44),0,12,0,1 (318),5 (427),31 (122),4 (275),3 (08:25),16
2,0,Will Zerlang,http://games.crossfit.com/athlete/7802,1,0,3 (55),0,12,0,5 (312),16 (346),7 (128),5 (274),22 (09:27),16
3,0,Lorin Adams,http://games.crossfit.com/athlete/15740,1,0,4 (56),0,12,0,11 (300),6 (424),18 (125),1 (282),20 (09:26),16
4,0,Garret Fisher,http://games.crossfit.com/athlete/21292,1,0,5 (65),0,12,0,17 (293),3 (428),4 (128),6 (267),35 (09:45),16
5,0,Kyle Kleinschmidt,http://games.crossfit.com/athlete/297862,1,0,6 (68),0,12,0,3 (313),41 (343),3 (128),14 (260),7 (08:53),16
6,0,Ryan Hignell,http://games.crossfit.com/athlete/43993,1,0,7 (72),0,12,0,5 (312),17 (346),34 (121),7 (265),9 (09:07),16
7,0,Jeff Patzer,http://games.crossfit.com/athlete/93171,1,0,8 (78),0,12,0,33 (286),13 (347),13 (127),18 (258),1 (07:38),16
8,0,Dusty Sulon,http://games.crossfit.com/athlete/18551,1,0,9 (87),0,12,0,12 (299),8 (424),35 (121),3 (276),29 (09:39),16
9,0,Kyle Zozaya,http://games.crossfit.com/athlete/246058,1,0,10 (102),0,12,0,7 (309),14 (347),40 (120),19 (257),22 (09:27),16
0,0,Samuel Kwant,http://games.crossfit.com/athlete/74320,1,0,1 (21),0,13,0,5 (316),2 (428),6 (127),1 (292),7 (08:37),16
1,0,Mitchel Stevenson,http://games.crossfit.com/athlete/323300,1,0,2 (28),0,13,0,10 (302),10 (424),2 (130),3 (275),3 (07:52),16
2,0,Allan Dunlap,http://games.crossfit.com/athlete/119182,1,0,3 (33),0,13,0,18 (292),3 (427),4 (129),6 (269),2 (07:50),16
3,0,Mitch Wagner,http://games.crossfit.com/athlete/240482,1,0,4 (45),0,13,0,1 (340),7 (424),34 (117),2 (275),1 (07:32),16
4,0,Ben Stoneberg,http://games.crossfit.com/athlete/30740,1,0,5 (68),0,13,0,11 (301),5 (426),33 (117),5 (272),14 (08:56),16
5,0,Aaron Carlson,http://games.crossfit.com/athlete/792889,1,0,6 (72),0,13,0,12 (299),12 (423),27 (118),16 (260),5 (08:25),16
6,0,Cody Anderson,http://games.crossfit.com/athlete/19269,1,0,7 (73),0,13,0,6 (312),4 (426),7 (126),45 (246),11 (08:52),16
7,0,Travis Mead,http://games.crossfit.com/athlete/105875,1,0,7 (73),0,13,0,18 (292),14 (347),11 (124),10 (264),20 (09:13),16
8,0,Joe Silvestri,http://games.crossfit.com/athlete/15414,1,0,9 (77),0,13,0,17 (293),9 (424),18 (121),4 (275),29 (09:23),16
9,0,Brenden Loyer,http://games.crossfit.com/athlete/3269,1,0,10 (85),0,13,0,14 (298),8 (424),16 (121),21 (258),26 (09:20),16
0,0,Travis Williams,http://games.crossfit.com/athlete/14960,1,0,1 (21),0,14,0,5 (319),3 (429),9 (128),3 (287),1 (08:13),16
1,0,Jordan Cook,http://games.crossfit.com/athlete/111574,1,0,2 (27),0,14,0,1 (326),5 (426),12 (128),4 (284),5 (08:28),16
2,0,Josh Littauer,http://games.crossfit.com/athlete/104553,1,0,3 (37),0,14,0,10 (312),7 (426),8 (129),9 (274),3 (08:16),16
3,0,Roy Gamboa,http://games.crossfit.com/athlete/95022,1,0,4 (40),0,14,0,4 (323),2 (430),1 (132),2 (289),31 (09:12),16
4,0,Logan Collins,http://games.crossfit.com/athlete/123764,1,0,5 (41),0,14,0,6 (314),1 (430),7 (129),10 (274),17 (08:52),16
5,0,Taylor Domengeaux,http://games.crossfit.com/athlete/14599,1,0,6 (71),0,14,0,9 (313),25 (423),13 (127),11 (273),13 (08:50),16
