,Athlete,Athlete_URL,Division,G_01_Place,G_01_Points,G_01_Score,G_02_Place,G_02_Points,G_02_Score,G_03_Place,G_03_Points,G_03_Score,G_04_Place,G_04_Points,G_04_Score,G_05_Place,G_05_Points,G_05_Score,G_06_Place,G_06_Points,G_06_Score,G_07_Place,G_07_Points,G_07_Score,G_08_Place,G_08_Points,G_08_Score,G_09_Place,G_09_Points,G_09_Score,G_10_Place,G_10_Points,G_10_Score,G_11_Place,G_11_Points,G_11_Score,G_12_Place,G_12_Points,G_12_Score,G_13_Place,G_13_Points,G_13_Score,G_14_Place,G_14_Points,G_14_Score,G_15_Place,G_15_Points,G_15_Score,Games_Place,Year
1,Mathew Fraser,http://games.crossfit.com/athlete/153604,1,12,56.0,50:52.00,2,94.0,10:38.00,2,94.0,39:20.93,3,88.0,3 pt,2,94.0,08:33.59,24,16.0,00:20.47,37,3.0,00:22.80,32,16.0,CAP+3,4,84.0,342 lb,1,100.0,04:43.31,2,94.0,12:58.85,2,94.0,04:52.15,17,46.0,06:31.61,,,,,,,2 (879),2015
2,Björgvin Karl Guðmundsson,http://games.crossfit.com/athlete/81616,1,6,76.0,48:39.97,17,46.0,12:22.00,1,100.0,38:36.21,14,52.0,14 pt,25,30.0,CAP+6,12,28.0,00:19.67,9,32.0,00:19.26,9,64.0,07:27.79,23,34.0,307 lb,7,72.0,05:20.41,5,80.0,13:13.87,7,72.0,CAP,5,80.0,05:30.45,,,,,,,3 (766),2015
3,Dan Bailey,http://games.crossfit.com/athlete/47661,1,8,68.0,49:24.87,29,22.0,14:41.00,17,46.0,46:40.46,34,12.0,34 pt,6,76.0,10:05.10,1,50.0,00:18.10,1,50.0,00:18.56,18,44.0,08:32.17,15,50.0,316 lb,4,84.0,05:02.14,14,52.0,13:40.61,3,88.0,05:16.55,3,88.0,04:52.57,,,,,,,4 (730),2015
4,Spencer Hendel,http://games.crossfit.com/athlete/50866,1,9,64.0,49:54.89,31,18.0,14:48.00,29,22.0,50:01.77,18,44.0,18 pt,13,54.0,10:42.18,19,21.0,00:20.00,13,27.0,00:19.72,2,94.0,04:42.06,21,38.0,310 lb,8,68.0,05:29.13,8,68.0,13:32.96,1,100.0,04:35.86,1,100.0,04:18.97,,,,,,,5 (718),2015
5,Scott Panchik,http://games.crossfit.com/athlete/34796,1,20,40.0,56:51.19,33,14.0,14:57.00,14,52.0,45:36.60,9,64.0,9 pt,3,88.0,09:17.14,2,47.0,00:18.40,8,34.0,00:19.07,21,38.0,08:53.91,6,76.0,330 lb,5,80.0,05:05.08,30,20.0,14:45.65,5,80.0,05:25.94,6,76.0,05:32.87,,,,,,,6 (709),2015
6,Cole Sager,http://games.crossfit.com/athlete/153625,1,19,42.0,55:03.24,6,76.0,11:17.00,13,54.0,45:01.61,17,46.0,17 pt,27,26.0,CAP+8,4,42.0,00:18.53,5,40.0,00:18.96,3,88.0,06:01.12,7,72.0,325 lb,3,88.0,04:52.88,18,44.0,13:58.00,18,44.0,CAP+49,21,38.0,CAP+2,,,,,,,7 (700),2015
7,Noah Ohlsen,http://games.crossfit.com/athlete/2725,1,3,88.0,46:14.13,36,8.0,CAP+3,3,88.0,39:33.74,26,28.0,26 pt,7,72.0,10:09.11,8,34.0,00:19.47,23,17.0,00:20.72,14,52.0,07:52.46,27,26.0,305 lb,2,94.0,04:47.95,6,76.0,13:14.47,17,46.0,CAP+12,9,64.0,05:51.48,,,,,,,8 (693),2015
8,Jonne Koski,http://games.crossfit.com/athlete/173837,1,1,100.0,42:16.87,8,68.0,11:22.00,5,80.0,41:14.12,36,8.0,36 pt,10,60.0,10:37.14,26,14.0,00:20.70,18,22.0,00:20.37,20,40.0,08:37.90,23,34.0,307 lb,9,64.0,05:30.59,11,58.0,13:35.64,14,52.0,CAP+8,21,38.0,CAP+2,,,,,,,9 (638),2015
9,Jacob Heppner,http://games.crossfit.com/athlete/199938,1,15,50.0,53:09.05,16,48.0,12:19.00,6,76.0,41:28.40,27,26.0,27 pt,20,40.0,CAP,31,9.0,00:21.57,34,6.0,00:21.93,11,58.0,07:32.12,22,36.0,308 lb,10,60.0,05:39.29,1,100.0,12:52.40,20,40.0,CAP+50,7,72.0,05:44.86,,,,,,,10 (621),2015
10,Alex Vigneault,http://games.crossfit.com/athlete/180541,1,29,22.0,59:48.35,13,54.0,11:40.00,22,36.0,47:59.00,16,48.0,16 pt,11,58.0,10:38.94,29,11.0,00:21.43,14,26.0,00:19.94,7,72.0,07:02.58,17,46.0,315 lb,20,40.0,06:12.04,4,84.0,13:11.69,8,68.0,CAP+1,15,50.0,06:08.94,,,,,,,11 (615),2015
