,Athlete,Athlete_URL,Division,G_01_Place,G_01_Points,G_01_Score,G_02_Place,G_02_Points,G_02_Score,G_03_Place,G_03_Points,G_03_Score,G_04_Place,G_04_Points,G_04_Score,G_05_Place,G_05_Points,G_05_Score,G_06_Place,G_06_Points,G_06_Score,G_07_Place,G_07_Points,G_07_Score,G_08_Place,G_08_Points,G_08_Score,G_09_Place,G_09_Points,G_09_Score,G_10_Place,G_10_Points,G_10_Score,G_11_Place,G_11_Points,G_11_Score,G_12_Place,G_12_Points,G_12_Score,G_13_Place,G_13_Points,G_13_Score,G_14_Place,G_14_Points,G_14_Score,G_15_Place,G_15_Points,G_15_Score,Games_Place,Year
22,Annie Sakamoto,http://games.crossfit.com/athlete/25678,2,3,90.0,49:20.0,11,65.0,2:15:44.0,39,18.0,73.89,15,32.0,84.50 in,36,11.0,38 pt,18,51.0,10:47.2,12,63.0,07:30.4,21,26.0,00:51.2,26,35.0,12:38.7,36,21.0,180.01 lb,21,45.0,11:05.0,24,39.0,07:53.0,CUT,,,CUT,,,CUT,,,23 (496),2012
23,Michele Letendre,http://games.crossfit.com/athlete/3407,2,11,65.0,52:31.0,18,51.0,2:24:23.0,42,15.0,88.4,31,16.0,75.50 in,24,23.0,46 pt,9,69.0,10:04.0,29,29.0,10:23.0,42,5.0,00:56.5,29,29.0,13:01.0,15,57.0,200.05 lb,6,75.0,08:58.5,19,49.0,05:41.2,CUT,,,CUT,,,CUT,,,24 (483),2012
24,Caroline Fryklund,http://games.crossfit.com/athlete/26295,2,31,26.0,58:08.0,26,35.0,2:27:43.0,18,51.0,52.21,9,38.0,88.00 in,12,35.0,51 pt,10,67.0,10:10.0,24,39.0,10:06.0,7,40.0,00:49.0,17,53.0,11:13.6,39,18.0,170.05 lb,33,24.0,13:30.7,CUT,,,CUT,,,CUT,,,CUT,,,25 (426),2012
25,Gretchen Kittelberger,http://games.crossfit.com/athlete/13383,2,37,20.0,1:00:19.0,37,20.0,2:44:51.0,17,53.0,51.32,18,29.0,83.00 in,4,44.0,55 pt,25,37.0,11:21.0,29,29.0,10:23.0,31,16.0,00:53.0,20,47.0,11:59.1,15,57.0,200.05 lb,24,39.0,11:25.0,CUT,,,CUT,,,CUT,,,CUT,,,26 (391),2012
26,Candace Hester,http://games.crossfit.com/athlete/17339,2,36,21.0,59:36.0,39,18.0,2:50:06.0,27,33.0,63.96,12,35.0,85.00 in,29,18.0,41 pt,14,59.0,10:23.0,21,45.0,09:51.0,29,18.0,00:52.6,37,20.0,13:05.0,5,80.0,215.05 lb,27,33.0,11:55.1,CUT,,,CUT,,,CUT,,,CUT,,,27 (380),2012
27,Jenn Jones,http://games.crossfit.com/athlete/3217,2,25,37.0,55:35.0,30,27.0,2:29:10.0,14,59.0,53.51,43,4.0,0.00 in,17,30.0,49 pt,30,27.0,11:43.0,13,61.0,07:35.0,4,44.0,00:48.0,40,17.0,13:08.0,32,25.0,190.01 lb,20,47.0,10:38.6,CUT,,,CUT,,,CUT,,,CUT,,,28 (378),2012
28,Candice Ruiz,http://games.crossfit.com/athlete/11460,2,21,45.0,54:51.0,13,61.0,2:18:18.0,15,57.0,57.35,33,14.0,74.00 in,26,21.0,43 pt,34,23.0,12:14.7,32,25.0,10:24.0,8,39.0,00:49.1,29,29.0,13:01.0,23,41.0,195.03 lb,35,22.0,15:07.0,CUT,,,CUT,,,CUT,,,CUT,,,29 (377),2012
29,Katrin Tanja Davidsdottir,http://games.crossfit.com/athlete/55121,2,19,49.0,54:49.0,20,47.0,2:24:46.0,24,39.0,62.02,23,24.0,81.50 in,36,11.0,38 pt,37,20.0,12:56.3,17,53.0,08:53.1,20,27.0,00:51.0,21,45.0,11:59.5,25,37.0,195.02 lb,32,25.0,13:16.5,CUT,,,CUT,,,CUT,,,CUT,,,30 (377),2012
30,Jaime Gold,http://games.crossfit.com/athlete/11218,2,41,16.0,1:07:53.0,42,15.0,3:01:15.0,4,85.0,53.02,22,25.0,82.00 in,2,48.0,57 pt,23,41.0,11:09.0,16,55.0,08:05.0,37,10.0,00:54.8,29,29.0,13:01.0,33,24.0,180.04 lb,31,26.0,13:03.2,CUT,,,CUT,,,CUT,,,CUT,,,31 (374),2012
31,Alicia Gomes,http://games.crossfit.com/athlete/40822,2,29,29.0,56:26.0,34,23.0,2:37:55.0,8,71.0,49.60,36,11.0,73.50 in,36,11.0,38 pt,15,57.0,10:24.5,14,59.0,07:35.3,41,6.0,00:56.2,22,43.0,12:05.0,33,24.0,180.04 lb,26,35.0,11:41.0,CUT,,,CUT,,,CUT,,,CUT,,,32 (369),2012
32,Kelley Hennigan,http://games.crossfit.com/athlete/9258,2,33,24.0,58:56.0,40,17.0,2:50:33.0,6,75.0,46.37,12,35.0,85.00 in,17,30.0,49 pt,24,39.0,11:14.0,36,21.0,10:26.0,35,12.0,00:54.4,29,29.0,13:01.0,22,43.0,195.04 lb,30,27.0,12:59.0,CUT,,,CUT,,,CUT,,,CUT,,,33 (352),2012
33,Heather Gillespie,http://games.crossfit.com/athlete/54687,2,43,14.0,1:13:50.0,43,14.0,3:03:08.0,32,25.0,68.39,2,48.0,93.00 in,20,27.0,48 pt,28,31.0,11:31.0,28,31.0,10:22.0,39,8.0,00:55.4,10,67.0,10:33.0,26,35.0,190.08 lb,22,43.0,11:14.1,CUT,,,CUT,,,CUT,,,CUT,,,34 (343),2012
34,Thuridur Erla Helgadottir,http://games.crossfit.com/athlete/19501,2,38,19.0,1:04:16.0,35,22.0,2:43:25.0,19,49.0,54.12,33,14.0,74.00 in,31,16.0,39 pt,39,18.0,13:02.0,7,73.0,06:59.0,6,41.0,00:48.9,29,29.0,13:01.0,42,15.0,160.02 lb,34,23.0,15:00.0,CUT,,,CUT,,,CUT,,,CUT,,,35 (319),2012
35,Samantha Petersen,http://games.crossfit.com/athlete/6139,2,20,47.0,54:50.0,31,26.0,2:29:46.0,28,31.0,64.52,3,46.0,92.50 in,6,41.0,54 pt,41,16.0,13:04.0,39,18.0,10:43.0,28,19.0,00:52.3,34,23.0,13:02.0,29,29.0,190.04 lb,36,21.0,15:52.0,CUT,,,CUT,,,CUT,,,CUT,,,36 (317),2012
36,Jenny LaBaw,http://games.crossfit.com/athlete/14149,2,7,73.0,50:30.0,4,85.0,2:08:35.0,31,26.0,68.28,17,30.0,83.50 in,17,30.0,49 pt,42,15.0,13:07.0,39,18.0,10:43.0,9,38.0,00:49.5,23,41.0,12:10.3,31,26.0,190.03 lb,WD,,,WD,,,WD,,,WD,,,WD,,,37 (382),2012
37,Shana Alverson,http://games.crossfit.com/athlete/23820,2,39,18.0,1:07:09.0,32,25.0,2:35:08.0,16,55.0,59.10,19,28.0,82.50 in,30,17.0,40 pt,39,18.0,13:02.0,38,19.0,10:42.0,30,17.0,00:52.8,24,39.0,12:18.0,29,29.0,190.04 lb,CUT,,,CUT,,,CUT,,,CUT,,,CUT,,,38 (265),2012
38,Jasmine Dever,http://games.crossfit.com/athlete/52053,2,28,31.0,56:17.0,25,37.0,2:27:25.0,41,16.0,87.58,28,19.0,78.50 in,36,11.0,38 pt,36,21.0,12:20.0,39,18.0,10:43.0,26,21.0,00:52.2,37,20.0,13:05.0,12,63.0,205.01 lb,CUT,,,CUT,,,CUT,,,CUT,,,CUT,,,39 (257),2012
39,Colleen Maher,http://games.crossfit.com/athlete/36776,2,13,61.0,53:05.0,16,55.0,2:21:31.0,43,14.0,191.19,42,5.0,50.50 in,42,5.0,32 pt,22,43.0,11:01.7,32,25.0,10:24.0,43,4.0,00:59.3,34,23.0,13:02.0,38,19.0,180.00 lb,CUT,,,CUT,,,CUT,,,CUT,,,CUT,,,40 (254),2012
40,Christen Wagner,http://games.crossfit.com/athlete/50900,2,23,41.0,55:13.0,27,33.0,2:28:17.0,25,37.0,62.27,19,28.0,82.50 in,43,4.0,29 pt,38,19.0,13:01.0,37,20.0,10:39.0,33,14.0,00:53.3,39,18.0,13:07.0,41,16.0,170.00 lb,CUT,,,CUT,,,CUT,,,CUT,,,CUT,,,41 (230),2012
41,Tarasa Barnett,http://games.crossfit.com/athlete/9624,2,40,17.0,1:07:43.0,38,19.0,2:47:03.0,36,21.0,72.58,26,21.0,79.50 in,31,16.0,39 pt,32,25.0,11:54.0,35,22.0,10:25.0,40,7.0,00:55.6,34,23.0,13:02.0,36,21.0,180.01 lb,CUT,,,CUT,,,CUT,,,CUT,,,CUT,,,42 (192),2012
42,Rika Diedericks,http://games.crossfit.com/athlete/11068,2,18,51.0,54:26.0,41,16.0,2:52:00.0,40,17.0,81.7,32,15.0,75.00 in,22,25.0,47 pt,43,14.0,13:26.0,43,14.0,10:44.0,36,11.0,00:54.6,42,15.0,13:11.0,WD,,,WD,,,WD,,,WD,,,WD,,,WD,,,43 (178),2012
43,Denae Brown,http://games.crossfit.com/athlete/16581,2,WD,,,WD,,,WD,,,WD,,,WD,,,WD,,,WD,,,WD,,,WD,,,WD,,,WD,,,WD,,,WD,,,WD,,,WD,,,44T (),2012
44,Allison King,http://games.crossfit.com/athlete/15996,2,WD,,,WD,,,WD,,,WD,,,WD,,,WD,,,WD,,,WD,,,WD,,,WD,,,WD,,,WD,,,WD,,,WD,,,WD,,,44T (),2012
0,Samantha Briggs,http://games.crossfit.com/athlete/2536,2,4,85.0,14:16.4,1,100.0,07:17.0,1,100.0,1:27:47.9,3,90.0,29:39.6,25,37.0,25 pt,16,55.0,10:29.0,2,95.0,17:27.7,22,43.0,200.20 lb,10,67.0,11:17.9,1,100.0,02:35.3,12,63.0,06:10.7,4,85.0,07:02.0,,,,,,,,,,1 (920),2013
1,Lindsey Valenzuela,http://games.crossfit.com/athlete/123968,2,6,75.0,14:31.4,12,63.0,07:40.0,5,80.0,1:30:04.6,12,63.0,33:36.4,17,53.0,17 pt,11,65.0,10:13.0,17,53.0,19:01.6,2,95.0,235.10 lb,22,43.0,12:07.2,6,75.0,02:44.1,8,71.0,05:25.8,4,85.0,07:02.0,,,,,,,,,,2 (821),2013
2,Valerie Voboril,http://games.crossfit.com/athlete/50601,2,19,49.0,17:26.9,23,41.0,07:56.3,23,41.0,1:35:06.1,6,75.0,30:33.8,14,59.0,14 pt,3,90.0,10:02.0,3,90.0,17:50.2,15,57.0,205.20 lb,1,100.0,09:48.4,18,51.0,03:06.5,5,80.0,04:52.1,4,85.0,07:02.0,,,,,,,,,,3 (818),2013
3,Alessandra Pichelli,http://games.crossfit.com/athlete/37537,2,8,71.0,14:58.4,3,90.0,07:22.9,12,63.0,1:31:21.7,11,65.0,33:28.5,10,67.0,10 pt,1,100.0,09:33.7,15,57.0,18:57.6,13,61.0,210.20 lb,12,63.0,11:24.6,9,69.0,02:54.5,15,57.0,06:28.1,16,55.0,07:05.0,,,,,,,,,,4 (818),2013
4,Talayna Fortunato,http://games.crossfit.com/athlete/11279,2,11,65.0,16:04.6,7,73.0,07:32.2,8,71.0,1:30:33.6,8,71.0,31:23.1,33,24.0,33 pt,16,55.0,10:29.0,23,41.0,20:01.0,15,57.0,205.20 lb,9,69.0,10:49.5,3,90.0,02:41.1,2,95.0,04:36.4,1,100.0,06:47.3,,,,,,,,,,5 (811),2013
5,Jenn Jones,http://games.crossfit.com/athlete/3217,2,27,33.0,18:48.5,20,47.0,07:51.9,14,59.0,1:32:11.5,14,59.0,33:47.1,14,59.0,14 pt,5,80.0,10:12.0,10,67.0,18:37.5,5,80.0,225.20 lb,8,71.0,10:48.7,2,95.0,02:35.6,16,55.0,06:30.4,4,85.0,07:02.0,,,,,,,,,,6 (790),2013
6,Christy Phillips,http://games.crossfit.com/athlete/9121,2,5,80.0,14:16.6,14,59.0,07:42.7,10,67.0,1:31:11.3,4,85.0,30:19.6,4,85.0,4 pt,2,95.0,09:41.9,26,35.0,20:04.0,10,67.0,215.10 lb,29,29.0,12:49.6,26,35.0,03:16.7,4,85.0,04:46.9,17,53.0,07:06.0,,,,,,,,,,7 (775),2013
7,Michelle Kinney,http://games.crossfit.com/athlete/6109,2,25,37.0,18:42.8,18,51.0,07:47.5,15,57.0,1:32:38.0,23,41.0,36:13.4,5,80.0,5 pt,25,37.0,10:31.0,4,85.0,17:50.4,26,35.0,195.20 lb,5,80.0,10:19.5,10,67.0,02:55.4,9,69.0,05:34.5,4,85.0,07:02.0,,,,,,,,,,8 (724),2013
8,Anna Tunnicliffe,http://games.crossfit.com/athlete/9440,2,12,63.0,16:08.2,4,85.0,07:27.5,6,75.0,1:30:24.3,5,80.0,30:29.6,20,47.0,20 pt,5,80.0,10:12.0,7,73.0,18:24.1,30,27.0,190.10 lb,13,61.0,11:28.0,32,25.0,03:32.7,20,47.0,07:02.0,22,43.0,07:14.0,,,,,,,,,,9 (706),2013
9,Elisabeth Akinwale,http://games.crossfit.com/athlete/7965,2,22,43.0,17:58.9,17,53.0,07:46.4,21,45.0,1:34:36.7,15,57.0,33:53.9,23,41.0,23 pt,16,55.0,10:29.0,30,27.0,20:12.0,2,95.0,235.10 lb,16,55.0,11:46.9,7,73.0,02:51.2,1,100.0,03:32.2,17,53.0,07:06.0,,,,,,,,,,10 (697),2013
10,Rebecca Voigt,http://games.crossfit.com/athlete/8015,2,24,39.0,18:40.5,10,67.0,07:36.0,11,65.0,1:31:14.9,7,73.0,31:19.2,20,47.0,20 pt,20,47.0,10:30.0,11,65.0,18:43.4,15,57.0,205.20 lb,27,33.0,12:37.6,21,45.0,03:09.5,7,73.0,05:05.7,4,85.0,07:02.0,,,,,,,,,,11 (696),2013
11,Kara Webb,http://games.crossfit.com/athlete/2942,2,2,95.0,13:55.9,15,57.0,07:43.0,27,33.0,1:35:37.8,9,69.0,33:01.2,8,71.0,8 pt,25,37.0,10:31.0,18,51.0,19:12.6,4,85.0,230.20 lb,33,24.0,13:21.8,11,65.0,02:57.3,19,49.0,06:55.7,19,49.0,07:07.0,,,,,,,,,,12 (685),2013
12,Michele Letendre,http://games.crossfit.com/athlete/3407,2,1,100.0,13:19.2,27,33.0,08:01.1,37,20.0,1:38:06.2,27,33.0,39:24.4,29,29.0,29 pt,20,47.0,10:30.0,14,59.0,18:56.9,10,67.0,215.10 lb,4,85.0,10:18.6,13,61.0,03:02.0,20,47.0,07:02.0,3,90.0,07:01.0,,,,,,,,,,13 (671),2013
13,Rory Zambard,http://games.crossfit.com/athlete/14354,2,3,90.0,14:06.5,5,80.0,07:27.9,13,61.0,1:32:03.2,16,55.0,34:06.9,17,53.0,17 pt,11,65.0,10:13.0,12,63.0,18:44.7,30,27.0,190.10 lb,39,18.0,14:38.4,5,80.0,02:41.5,20,47.0,07:02.0,28,31.0,07:25.0,,,,,,,,,,14 (670),2013
14,Ruth Anderson Horrell,http://games.crossfit.com/athlete/25528,2,37,20.0,21:06.5,7,73.0,07:32.2,3,90.0,1:29:18.4,2,95.0,28:27.3,33,24.0,33 pt,34,23.0,10:54.0,5,80.0,17:51.9,8,71.0,220.10 lb,30,27.0,12:56.0,15,57.0,03:03.1,14,59.0,06:24.5,24,39.0,07:17.0,,,,,,,,,,15 (658),2013
15,Camille Leblanc-Bazinet,http://games.crossfit.com/athlete/8404,2,10,67.0,15:46.0,30,27.0,08:05.7,41,16.0,1:39:31.1,32,25.0,40:02.0,36,21.0,36 pt,31,26.0,10:53.0,19,49.0,19:24.3,5,80.0,225.20 lb,3,90.0,10:03.9,4,85.0,02:41.4,6,75.0,05:03.3,2,95.0,06:47.8,,,,,,,,,,16 (656),2013
16,Caroline Fryklund,http://games.crossfit.com/athlete/26295,2,26,35.0,18:44.4,19,49.0,07:51.2,9,69.0,1:30:52.4,22,43.0,35:59.4,13,61.0,13 pt,5,80.0,10:12.0,24,39.0,20:02.0,35,22.0,185.20 lb,15,57.0,11:40.4,16,55.0,03:03.2,13,61.0,06:17.3,4,85.0,07:02.0,,,,,,,,,,17 (656),2013
17,Danielle Horan,http://games.crossfit.com/athlete/3200,2,21,45.0,17:53.2,24,39.0,07:56.7,26,35.0,1:35:16.1,21,45.0,35:25.9,41,16.0,41 pt,11,65.0,10:13.0,22,43.0,19:51.3,7,73.0,225.10 lb,14,59.0,11:33.3,20,47.0,03:09.4,3,90.0,04:46.6,4,85.0,07:02.0,,,,,,,,,,18 (642),2013
18,Kaleena Ladeairous,http://games.crossfit.com/athlete/11215,2,32,25.0,19:39.3,1,100.0,07:17.0,4,85.0,1:29:26.3,1,100.0,28:03.9,33,24.0,33 pt,34,23.0,10:54.0,1,100.0,16:46.0,35,22.0,185.20 lb,32,25.0,13:14.7,19,49.0,03:08.7,18,51.0,06:53.9,26,35.0,07:20.0,,,,,,,,,,19 (639),2013
19,Stacie Tovar,http://games.crossfit.com/athlete/5512,2,17,53.0,17:03.2,11,65.0,07:37.7,16,55.0,1:33:35.4,13,61.0,33:43.4,3,90.0,3 pt,20,47.0,10:30.0,13,61.0,18:53.5,30,27.0,190.10 lb,35,22.0,13:31.3,8,71.0,02:52.6,17,53.0,06:42.9,29,29.0,07:27.0,,,,,,,,,,20 (634),2013
20,Deborah Cordner Carson,http://games.crossfit.com/athlete/14093,2,35,22.0,20:05.6,33,24.0,08:07.4,29,29.0,1:36:23.3,35,22.0,40:03.0,5,80.0,5 pt,5,80.0,10:12.0,36,21.0,20:27.0,13,61.0,210.20 lb,7,73.0,10:40.0,12,63.0,03:01.2,10,67.0,05:55.7,4,85.0,07:02.0,,,,,,,,,,21 (627),2013
21,Jennifer Smith,http://games.crossfit.com/athlete/45491,2,14,59.0,16:11.0,9,69.0,07:33.1,17,53.0,1:33:47.0,28,31.0,39:25.9,7,73.0,7 pt,30,27.0,10:36.0,21,45.0,19:38.4,10,67.0,215.10 lb,21,45.0,12:06.2,31,26.0,03:31.0,11,65.0,06:04.6,14,59.0,07:03.0,,,,,,,,,,22 (619),2013
22,Emily Carothers,http://games.crossfit.com/athlete/22982,2,18,51.0,17:26.4,21,45.0,07:52.1,19,49.0,1:34:02.5,29,29.0,39:28.1,11,65.0,11 pt,3,90.0,10:02.0,32,25.0,20:16.0,37,20.0,185.10 lb,6,75.0,10:21.1,27,33.0,03:19.9,29,29.0,07:17.0,4,85.0,07:02.0,,,,,,,,,,23 (596),2013
23,Katrin Tanja Davidsdottir,http://games.crossfit.com/athlete/55121,2,31,26.0,19:35.4,6,75.0,07:28.8,7,73.0,1:30:28.1,17,53.0,34:16.9,29,29.0,29 pt,34,23.0,10:54.0,20,47.0,19:35.7,15,57.0,205.20 lb,17,53.0,11:48.1,17,53.0,03:05.4,25,37.0,07:07.0,14,59.0,07:03.0,,,,,,,,,,24 (585),2013
24,Emily Friedman,http://games.crossfit.com/athlete/28886,2,13,61.0,16:08.9,28,31.0,08:02.0,44,13.0,1:45:05.9,10,67.0,33:19.6,14,59.0,14 pt,5,80.0,10:12.0,16,55.0,19:00.1,43,14.0,175.20 lb,24,39.0,12:17.7,36,21.0,03:55.0,20,47.0,07:02.0,23,41.0,07:16.0,,,,,,,,,,25 (528),2013
25,Margaux Alvarez,http://games.crossfit.com/athlete/3678,2,15,57.0,16:30.4,13,61.0,07:42.6,2,95.0,1:29:02.2,20,47.0,35:07.4,38,19.0,38 pt,34,23.0,10:54.0,26,35.0,20:04.0,27,33.0,195.10 lb,20,47.0,11:59.7,30,27.0,03:27.5,20,47.0,07:02.0,29,29.0,07:27.0,,,,,,,,,,26 (520),2013
26,Erin Light,http://games.crossfit.com/athlete/13632,2,20,47.0,17:44.8,22,43.0,07:55.4,24,39.0,1:35:11.4,19,49.0,35:05.7,20,47.0,20 pt,20,47.0,10:30.0,36,21.0,20:27.0,9,69.0,215.20 lb,31,26.0,13:04.5,22,43.0,03:15.5,26,35.0,07:10.0,24,39.0,07:17.0,,,,,,,,,,27 (505),2013
27,Lindy Wall,http://games.crossfit.com/athlete/6913,2,28,31.0,18:54.9,16,55.0,07:43.5,22,43.0,1:34:45.7,26,35.0,38:42.1,2,95.0,2 pt,39,18.0,10:55.0,36,21.0,20:27.0,30,27.0,190.10 lb,28,31.0,12:41.1,39,18.0,04:05.9,28,31.0,07:16.0,20,47.0,07:10.0,,,,,,,,,,28 (452),2013
28,Cassidy Lance,http://games.crossfit.com/athlete/123582,2,7,73.0,14:36.6,31,26.0,08:06.7,43,14.0,1:43:30.4,35,22.0,40:03.0,26,35.0,26 pt,31,26.0,10:53.0,29,29.0,20:08.0,22,43.0,200.20 lb,11,65.0,11:24.2,24,39.0,03:16.4,27,33.0,07:12.0,20,47.0,07:10.0,,,,,,,,,,29 (452),2013
29,Natalie McLain,http://games.crossfit.com/athlete/24883,2,34,23.0,20:04.1,36,21.0,08:09.0,34,23.0,1:37:42.8,25,37.0,38:39.4,27,33.0,27 pt,39,18.0,10:55.0,6,75.0,18:11.1,39,18.0,180.10 lb,2,95.0,09:55.5,35,22.0,03:46.1,30,27.0,07:47.0,27,33.0,07:21.0,,,,,,,,,,30 (425),2013
30,Tiffany Hendrickson,http://games.crossfit.com/athlete/51106,2,41,16.0,23:50.2,38,19.0,08:11.8,35,22.0,1:37:43.0,24,39.0,37:08.3,27,33.0,27 pt,25,37.0,10:31.0,8,71.0,18:25.5,27,33.0,195.10 lb,18,51.0,11:51.0,28,31.0,03:21.1,CUT,,,CUT,,,,,,,,,,,,31 (352),2013
31,Kristan Clever,http://games.crossfit.com/athlete/36734,2,23,41.0,18:18.8,44,13.0,08:28.5,39,18.0,1:38:36.6,42,15.0,40:06.0,17,53.0,17 pt,25,37.0,10:31.0,36,21.0,20:27.0,22,43.0,200.20 lb,19,49.0,11:55.3,14,59.0,03:02.3,CUT,,,CUT,,,,,,,,,,,,32 (349),2013
32,Michelle Crawford,http://games.crossfit.com/athlete/13372,2,33,24.0,20:02.9,25,37.0,07:58.3,33,24.0,1:37:36.6,38,19.0,40:04.0,1,100.0,1 pt,20,47.0,10:30.0,31,26.0,20:13.0,29,29.0,190.20 lb,42,15.0,15:12.0,40,17.0,04:07.0,CUT,,,CUT,,,,,,,,,,,,33 (338),2013
33,Gretchen Kittelberger,http://games.crossfit.com/athlete/13383,2,16,55.0,16:35.5,35,22.0,08:08.7,32,25.0,1:37:25.2,43,14.0,40:07.0,29,29.0,29 pt,11,65.0,10:13.0,36,21.0,20:27.0,22,43.0,200.20 lb,34,23.0,13:25.1,23,41.0,03:16.1,CUT,,,CUT,,,,,,,,,,,,34 (338),2013
34,Amanda Goodman,http://games.crossfit.com/athlete/11708,2,39,18.0,22:29.4,43,14.0,08:20.5,40,17.0,1:38:44.6,38,19.0,40:04.0,29,29.0,29 pt,29,29.0,10:33.0,34,23.0,20:19.0,1,100.0,235.20 lb,26,35.0,12:32.4,24,39.0,03:16.4,CUT,,,CUT,,,,,,,,,,,,35 (323),2013
35,Pip Malone,http://games.crossfit.com/athlete/26980,2,29,29.0,18:58.6,41,16.0,08:15.0,20,47.0,1:34:21.6,32,25.0,40:02.0,38,19.0,38 pt,39,18.0,10:55.0,9,69.0,18:34.6,15,57.0,205.20 lb,37,20.0,14:18.3,37,20.0,04:02.1,CUT,,,CUT,,,,,,,,,,,,36 (320),2013
36,Holly Mata,http://games.crossfit.com/athlete/4422,2,38,19.0,21:54.0,39,18.0,08:12.6,31,26.0,1:36:57.8,35,22.0,40:03.0,12,63.0,12 pt,16,55.0,10:29.0,36,21.0,20:27.0,15,57.0,205.20 lb,43,14.0,15:18.0,34,23.0,03:44.6,CUT,,,CUT,,,,,,,,,,,,37 (318),2013
37,Carla Nunes da Costa,http://games.crossfit.com/athlete/17774,2,30,27.0,19:29.4,26,35.0,07:58.8,25,37.0,1:35:15.0,18,51.0,34:52.8,43,14.0,43 pt,11,65.0,10:13.0,43,14.0,20:28.0,39,18.0,180.10 lb,38,19.0,14:36.8,29,29.0,03:26.6,CUT,,,CUT,,,,,,,,,,,,38 (309),2013
38,Nicole Tainatongo,http://games.crossfit.com/athlete/26672,2,36,21.0,20:41.5,42,15.0,08:15.3,18,51.0,1:33:51.0,31,26.0,39:30.8,9,69.0,9 pt,39,18.0,10:55.0,34,23.0,20:19.0,21,45.0,205.10 lb,40,17.0,15:06.0,38,19.0,04:02.2,CUT,,,CUT,,,,,,,,,,,,39 (304),2013
39,Emmalee Teribery,http://games.crossfit.com/athlete/14319,2,43,14.0,25:02.0,36,21.0,08:09.0,42,15.0,1:41:25.0,30,27.0,39:29.0,41,16.0,41 pt,5,80.0,10:12.0,36,21.0,20:27.0,38,19.0,180.20 lb,25,37.0,12:23.0,42,15.0,04:20.1,CUT,,,CUT,,,,,,,,,,,,40 (265),2013
40,Ashley Carriveau,http://games.crossfit.com/athlete/19412,2,9,69.0,15:02.3,34,23.0,08:08.6,38,19.0,1:38:29.4,40,17.0,40:05.0,38,19.0,38 pt,39,18.0,10:55.0,33,24.0,20:18.0,30,27.0,190.10 lb,36,21.0,13:59.7,33,24.0,03:40.2,CUT,,,CUT,,,,,,,,,,,,41 (261),2013
41,Courtney Modecki,http://games.crossfit.com/athlete/46105,2,40,17.0,23:37.2,32,25.0,08:07.3,30,27.0,1:36:33.3,40,17.0,40:05.0,23,41.0,23 pt,31,26.0,10:53.0,25,37.0,20:03.0,39,18.0,180.10 lb,41,16.0,15:10.0,41,16.0,04:14.2,CUT,,,CUT,,,,,,,,,,,,42 (240),2013
42,Ashleigh Moe,http://games.crossfit.com/athlete/38474,2,42,15.0,24:03.3,40,17.0,08:14.8,36,21.0,1:37:47.6,32,25.0,40:02.0,36,21.0,36 pt,34,23.0,10:54.0,26,35.0,20:04.0,39,18.0,180.10 lb,23,41.0,12:11.4,43,14.0,04:21.1,CUT,,,CUT,,,,,,,,,,,,43 (230),2013
43,Heather Gillespie,http://games.crossfit.com/athlete/54687,2,44,13.0,25:04.0,29,29.0,08:04.8,28,31.0,1:35:39.7,43,14.0,40:07.0,WD,,,WD,,,WD,,,WD,,,WD,,,WD,,,WD,,,WD,,,,,,,,,,,,44 (87),2013
0,Camille Leblanc-Bazinet,http://games.crossfit.com/athlete/8404,2,6,75.0,35:58.54,2,95.0,242 lb,17,53.0,39:52.75,8,39.0,00:36.58,11,36.0,01:29.00,1,100.0,04:50.49,2,95.0,16:09.26,25,37.0,03:12.71,5,80.0,5 pt,3,90.0,05:17.01,6,75.0,07:38.0,12,63.0,03:49.9,5,80.0,05:45.7,,,,,,,1 (918),2014
1,Annie Thorisdottir,http://games.crossfit.com/athlete/18588,2,15,57.0,39:21.21,14,59.0,222 lb,26,35.0,41:22.33,11,36.0,00:38.02,6,41.0,01:23.27,3,90.0,05:10.72,20,47.0,CAP+6,5,80.0,02:54.92,12,63.0,12 pt,6,75.0,05:33.39,1,100.0,06:34.1,2,95.0,03:03.0,1,100.0,05:17.4,,,,,,,2 (878),2014
2,Julie Foucher,http://games.crossfit.com/athlete/46243,2,13,61.0,38:47.11,8,71.0,231 lb,6,75.0,37:46.46,17,30.0,00:40.00,20,27.0,01:45.00,6,75.0,05:24.65,13,61.0,CAP+2,16,55.0,03:08.22,29,29.0,29 pt,8,71.0,05:49.31,5,80.0,07:35.7,7,73.0,03:22.5,4,85.0,05:38.2,,,,,,,3 (793),2014
3,Michele Letendre,http://games.crossfit.com/athlete/3407,2,4,85.0,32:49.96,8,71.0,231 lb,24,39.0,40:34.50,21,26.0,00:42.50,26,21.0,02:03.00,8,71.0,05:27.42,7,73.0,17:40.22,30,27.0,03:19.79,9,69.0,9 pt,1,100.0,05:00.24,14,59.0,09:03.5,6,75.0,03:19.0,8,71.0,05:51.7,,,,,,,4 (787),2014
4,Valerie Voboril,http://games.crossfit.com/athlete/50601,2,8,71.0,36:15.95,38,19.0,185 lb,9,69.0,38:21.47,16,31.0,00:39.47,9,38.0,01:28.35,2,95.0,05:10.49,11,65.0,CAP+1,20,47.0,03:10.35,13,61.0,13 pt,4,85.0,05:23.14,21,45.0,CAP+1,14,59.0,03:56.5,2,95.0,05:28.9,,,,,,,5 (780),2014
