Unnamed: 0,Age,Athlete,Athlete_URL,Finish,Gender,Height,Region,User_ID,Weight,Wk1,Wk2,Wk3,Wk4,Wk5,Year,Team,Affiliate,Fran,Helen,Grace,Filthy_50,Fight_Gone_Bad,Sprint_400,Run_5k,Clean_And_Jerk,Snatch,Deadlift,Back_Squat,Max_Pullups,Place,Score,Wk1_Place,Wk1_Score,Wk2_Place,Wk2_Score,Wk3_Place,Wk3_Score,Wk4_Place,Wk4_Score,Wk5_Place,Wk5_Score
457,24,Sonia Hurtubise,http://games.crossfit.com/athlete/144190,358 (2731),0,70.0,0,144190,145.0,239 (282),771 (343),982 (102),20 (284),719 (10:15),16,Lusine CrossFit Taschereau,L'usine CrossFit Taschereau,177.0,,129.0,,,72.0,1236.0,175.0,135.0,305.0,215.0,34,358,2731,239,282,771,343,982,102,20,284,719,615
458,24,Jennifer Rodriguez,http://games.crossfit.com/athlete/118640,359 (2737),0,58.0,0,118640,180.0,262 (279),328 (423),943 (102),485 (240),719 (10:15),16,C4 CrossFit,C4 CrossFit,,,,,,,,,,,,,359,2737,262,279,328,423,943,102,485,240,719,615
459,33,Melissa Geaney,http://games.crossfit.com/athlete/483527,360 (2740),0,63.0,0,483527,138.0,556 (267),910 (342),578 (107),421 (243),275 (09:34),16,,CrossFit Skylands,220.0,,,,,,,,,,,,360,2740,556,267,910,342,578,107,421,243,275,574
460,26,Samantha Heurung,http://games.crossfit.com/athlete/210327,361 (2745),0,62.0,0,210327,125.0,436 (272),304 (423),756 (103),1204 (217),45 (08:40),16,Team CrossFit SISU,CrossFit SISU,,,,,,,,,,,,,361,2745,436,272,304,423,756,103,1204,217,45,520
461,34,Katherine Rule,http://games.crossfit.com/athlete/254336,362 (2759),0,67.0,0,254336,155.0,525 (268),413 (347),793 (103),770 (230),258 (09:31),16,CrossFit Reflexion,CrossFit Reflexion,,,,,393,,,,,,,,362,2759,525,268,413,347,793,103,770,230,258,571
462,29,Michelle Landry,http://games.crossfit.com/athlete/75511,363 (2767),0,62.0,0,75511,125.0,380 (273),261 (423),229 (115),1514 (213),383 (09:46),16,Hurricane CrossFit,Hurricane CrossFit,148.0,495.0,125.0,,,,,185.0,130.0,305.0,235.0,47,363,2767,380,273,261,423,229,115,1514,213,383,586
463,29,Rachel Sanders,http://games.crossfit.com/athlete/444381,364 (2779),0,67.0,0,444381,155.0,473 (270),395 (409),329 (114),431 (242),1151 (10:42),16,CrossFit North Charleston,CrossFit North Charleston,,,,,,,,235.0,175.0,360.0,300.0,,364,2779,473,270,395,409,329,114,431,242,1151,642
464,24,Anette Nieminen,http://games.crossfit.com/athlete/821419,365 (2787),0,65.35,0,821419,154.32,380 (273),910 (342),487 (109),422 (243),588 (10:04),16,Reebok CrossFit Turku,Reebok CrossFit Turku,,,,,,,,,,,,,365,2787,380,273,910,342,487,109,422,243,588,604
465,29,Hannah Richards,http://games.crossfit.com/athlete/5277,366 (2793),0,59.0,0,5277,120.0,356 (274),461 (346),164 (117),852 (228),960 (10:31),16,,SUBU CrossFit,163.0,,,1201.0,,,,190.0,165.0,275.0,255.0,,366,2793,356,274,461,346,164,117,852,228,960,631
466,23,Fran Calvert,http://games.crossfit.com/athlete/121292,366 (2793),0,64.0,0,121292,141.1,231 (283),477 (346),1284 (100),347 (246),454 (09:54),16,CrossFit Faction,CrossFit Faction,,,,,,,,,,,,,366,2793,231,283,477,346,1284,100,347,246,454,594
467,36,Jill DiGiampaolo,http://games.crossfit.com/athlete/38371,368 (2795),0,63.0,0,38371,134.0,683 (263),705 (344),275 (115),843 (228),289 (09:36),16,Body Armor,Body Armor CrossFit,136.0,604.0,100.0,,,,1320.0,200.0,150.0,365.0,320.0,30,368,2795,683,263,705,344,275,115,843,228,289,576
468,24,Rochelle Steinbergs,http://games.crossfit.com/athlete/752571,369 (2797),0,66.14,0,752571,149.91,616 (265),340 (423),400 (112),542 (238),899 (10:27),16,,,,,,,,,,,,,,,369,2797,616,265,340,423,400,112,542,238,899,627
469,29,Amy Hagler,http://games.crossfit.com/athlete/69199,370 (2800),0,67.0,0,69199,150.0,655 (264),248 (424),235 (115),1109 (219),553 (10:01),16,CrossFit Mobile,CrossFit Mobile Midtown,183.0,,,,,,,225.0,190.0,325.0,290.0,,370,2800,655,264,248,424,235,115,1109,219,553,601
470,24,Katelyn Haynes,http://games.crossfit.com/athlete/39130,371 (2806),0,64.0,0,39130,145.0,775 (260),532 (345),464 (110),948 (224),87 (08:57),16,CrossFit Rutherford,CrossFit Rutherford,189.0,552.0,109.0,,356,75.0,1492.0,195.0,160.0,320.0,260.0,22,371,2806,775,260,532,345,464,110,948,224,87,537
471,28,Katie Colucci,http://games.crossfit.com/athlete/20691,372 (2807),0,64.0,0,20691,135.0,495 (269),525 (345),1554 (97),57 (269),176 (09:19),16,,,,,,,,,,,,,,,372,2807,495,269,525,345,1554,97,57,269,176,559
472,28,Jessie Rood,http://games.crossfit.com/athlete/380186,373 (2817),0,62.0,0,380186,128.0,591 (266),773 (343),293 (114),998 (222),162 (09:16),16,CrossFit 913,CrossFit 913,,,,,,,,,,,,,373,2817,591,266,773,343,293,114,998,222,162,556
473,25,Kim Chartrand,http://games.crossfit.com/athlete/145135,374 (2829),0,60.0,0,145135,125.0,525 (268),750 (343),537 (108),756 (231),261 (09:32),16,Physics CrossFit,Physics CrossFit,230.0,,,,,,,185.0,142.0,280.0,250.0,,374,2829,525,268,750,343,537,108,756,231,261,572
474,28,Alison Stall,http://games.crossfit.com/athlete/290824,375 (2840),0,67.0,0,290824,145.0,473 (270),622 (344),812 (103),631 (235),302 (09:38),16,CrossFit Electric City,CrossFit Electric City,210.0,520.0,103.0,1500.0,,,,165.0,130.0,315.0,245.0,30,375,2840,473,270,622,344,812,103,631,235,302,578
475,27,Lucy Majury,http://games.crossfit.com/athlete/264664,376 (2844),0,61.81,0,264664,141.1,274 (278),1094 (341),1331 (100),76 (265),69 (08:51),16,Esprit de Corps CrossFit,Esprit de Corps CrossFit,,,,,,,,,,,,,376,2844,274,278,1094,341,1331,100,76,265,69,531
476,30,Casey Campbell,http://games.crossfit.com/athlete/252100,377 (2846),0,64.0,0,252100,140.0,473 (270),1100 (341),365 (113),532 (239),376 (09:45),16,CrossFit Seven Cities,CrossFit Seven Cities,218.0,,,,,,,207.23,176.37,,264.55,,377,2846,473,270,1100,341,365,113,532,239,376,585
477,27,Brittney Kortz,http://games.crossfit.com/athlete/48072,378 (2849),0,65.0,0,48072,149.0,337 (275),429 (347),1546 (97),292 (248),245 (09:29),16,CrossFit Oyster Point,CrossFit Oyster Point,160.0,505.0,126.0,,373,,,200.0,150.0,300.0,265.0,,378,2849,337,275,429,347,1546,97,292,248,245,569
478,29,Sarah McCormick,http://games.crossfit.com/athlete/32681,379 (2850),0,67.0,0,32681,140.0,495 (269),631 (344),349 (114),905 (226),470 (09:55),16,CrossFit Kilo,CrossFit Kilo,170.0,495.0,155.0,1116.0,375,64.0,1260.0,187.39,149.91,308.65,255.74,36,379,2850,495,269,631,344,349,114,905,226,470,595
479,33,Lauren Sharpless,http://games.crossfit.com/athlete/323927,380 (2866),0,66.0,0,323927,150.0,934 (255),293 (423),841 (103),662 (234),136 (09:11),16,CrossFit North Charleston,CrossFit North Charleston,165.0,522.0,,,,66.0,1290.0,210.0,145.0,350.0,335.0,,380,2866,934,255,293,423,841,103,662,234,136,551
480,29,Abbey Wilkins,http://games.crossfit.com/athlete/16416,380 (2866),0,61.0,0,16416,130.0,655 (264),621 (344),329 (114),284 (249),977 (10:32),16,Team CrossFit Valdosta,CrossFit Valdosta,175.0,627.0,126.0,1146.0,367,65.0,,175.0,130.0,275.0,225.0,40,380,2866,655,264,621,344,329,114,284,249,977,632
481,29,Gabrielle Andrews,http://games.crossfit.com/athlete/19129,382 (2880),0,68.0,0,19129,157.0,1471 (243),216 (424),202 (116),723 (232),268 (09:33),16,OPEX,Unaffiliated,,,,,0,,,0.0,0.0,0.0,0.0,0,382,2880,1471,243,216,424,202,116,723,232,268,573
482,24,Amy Alessi,http://games.crossfit.com/athlete/28735,383 (2884),0,62.99,0,28735,140.0,473 (270),477 (346),835 (103),380 (245),719 (10:15),16,CrossFit Athletic,CrossFit Athletic,,,,,,,,200.0,180.0,0.0,0.0,40,383,2884,473,270,477,346,835,103,380,245,719,615
483,35,Amélie Verret,http://games.crossfit.com/athlete/252989,384 (2887),0,5.0,0,252989,130.0,128 (292),909 (342),841 (103),555 (238),454 (09:54),16,Minotaure Wod wrecking crew,CrossFit Minotaure,159.0,,178.0,,,,,175.0,145.0,270.0,235.0,45,384,2887,128,292,909,342,841,103,555,238,454,594
484,26,Hilary Steele,http://games.crossfit.com/athlete/245099,384 (2887),0,58.0,0,245099,120.0,194 (286),1576 (339),321 (114),561 (238),235 (09:28),16,,CrossFit K Block,,608.0,,,,,,185.0,150.0,275.0,220.0,37,384,2887,194,286,1576,339,321,114,561,238,235,568
485,26,Manon Arsenault,http://games.crossfit.com/athlete/224730,386 (2888),0,64.17,0,224730,138.0,380 (273),466 (346),707 (104),197 (254),1138 (10:41),16,Lusine CrossFit Taschereau,L'usine CrossFit Taschereau,,,111.0,,,,,191.0,145.0,320.0,245.0,,386,2888,380,273,466,346,707,104,197,254,1138,641
486,21,Hayley Gooding,http://games.crossfit.com/athlete/238043,387 (2892),0,65.0,0,238043,145.0,356 (274),523 (345),534 (108),502 (240),977 (10:32),16,CrossFit Train 97333,CrossFit Train 97333,,,116.0,,,,,195.0,160.0,300.0,245.0,42,387,2892,356,274,523,345,534,108,502,240,977,632
487,26,Julie Hamilton,http://games.crossfit.com/athlete/13073,388 (2897),0,64.0,0,13073,125.0,495 (269),1551 (339),498 (109),159 (257),194 (09:22),16,CrossFit Oyster Point,CrossFit Oyster Point,196.0,,182.0,,,,840.0,165.0,135.0,305.0,235.0,,388,2897,495,269,1551,339,498,109,159,257,194,562
488,27,Holly Ada McIlroy,http://games.crossfit.com/athlete/3619,389 (2898),0,64.0,0,3619,150.0,1210 (247),175 (425),1035 (102),162 (257),316 (09:39),16,CrossFit Select,CrossFit Select,157.0,612.0,88.0,,,,1590.0,215.0,180.0,315.0,295.0,35,389,2898,1210,247,175,425,1035,102,162,257,316,579
489,26,Danielle Beaudreault,http://games.crossfit.com/athlete/263982,390 (2901),0,60.0,0,263982,137.0,525 (268),1475 (340),209 (116),83 (264),609 (10:06),16,CrossFit Lake Effect,CrossFit Lake Effect,,502.0,,,,,,195.0,155.0,315.0,255.0,37,390,2901,525,268,1475,340,209,116,83,264,609,606
490,24,Katie Trombetta,http://games.crossfit.com/athlete/238208,391 (2906),0,63.0,0,238208,145.0,1655 (240),143 (426),387 (113),486 (240),235 (09:28),16,,Riverbend CrossFit,138.0,529.0,,,,67.0,,225.0,185.0,365.0,330.0,45,391,2906,1655,240,143,426,387,113,486,240,235,568
491,45,Tonia Osborne,http://games.crossfit.com/athlete/16964,392 (2909),0,62.0,0,16964,140.0,337 (275),363 (423),180 (116),439 (242),1590 (11:01),16,CrossFit Forest,CrossFit Forest,,,,,0,,,210.0,155.0,345.0,310.0,0,392,2909,337,275,363,423,180,116,439,242,1590,661
492,27,Carlie Stone,http://games.crossfit.com/athlete/26770,393 (2916),0,64.0,0,26770,153.0,1531 (242),168 (425),190 (116),573 (237),454 (09:54),16,,CrossFit Unscathed,157.0,,102.0,,348,65.0,1427.0,215.0,175.0,400.0,290.0,40,393,2916,1531,242,168,425,190,116,573,237,454,594
493,25,Olivia Redouté-Minzière,http://games.crossfit.com/athlete/252771,394 (2917),0,65.0,0,252771,155.0,274 (278),788 (343),906 (102),289 (248),660 (10:10),16,CrossFit Laval - aigles,CrossFit Laval,,,,,,,,200.0,170.0,285.0,245.0,,394,2917,274,278,788,343,906,102,289,248,660,610
494,24,Camzin Martin,http://games.crossfit.com/athlete/21165,395 (2918),0,67.0,0,21165,170.0,980 (253),249 (424),835 (103),170 (256),684 (10:12),16,EaDo Elite Blue,CrossFit EaDo,,,,,0,,,0.0,0.0,0.0,0.0,0,395,2918,980,253,249,424,835,103,170,256,684,612
495,27,Hilary Riordan,http://games.crossfit.com/athlete/247798,396 (2923),0,62.99,0,247798,127.0,308 (277),1281 (340),132 (118),679 (234),523 (09:59),16,Guerilla Fitness,G.F. CrossFit Clonakilty,179.0,,130.0,,377,,,187.39,143.3,286.6,253.53,50,396,2923,308,277,1281,340,132,118,679,234,523,599
496,30,Gemma Root,http://games.crossfit.com/athlete/244371,397 (2949),0,,0,244371,135.0,718 (262),1105 (341),349 (114),632 (235),145 (09:13),16,Zaks Pack East Tamaki,CrossFit East Tamaki,,,,,,,,,,,,,397,2949,718,262,1105,341,349,114,632,235,145,553
497,29,Annie-Pier Côté,http://games.crossfit.com/athlete/14316,398 (2950),0,62.0,0,14316,128.0,556 (267),1296 (340),584 (107),237 (251),277 (09:35),16,Hustle Tonic,Tonic CrossFit,,,,,,,,,,0.0,,,398,2950,556,267,1296,340,584,107,237,251,277,575
498,28,Katie Cosentino,http://games.crossfit.com/athlete/475583,399 (2973),0,62.0,0,475583,135.0,274 (278),1095 (341),381 (113),847 (228),376 (09:45),16,CrossFit AlphaDog,CrossFit Alpha Dog,,,,,,,,,,,,,399,2973,274,278,1095,341,381,113,847,228,376,585
499,30,Tammy Wildgoose,http://games.crossfit.com/athlete/149643,400 (2976),0,63.0,0,149643,140.0,495 (269),290 (423),132 (118),1025 (221),1034 (10:35),16,Team Invictus Unconquerable,CrossFit Invictus Point Loma,237.0,543.0,167.0,1446.0,312,69.0,,165.0,120.0,245.0,190.0,37,400,2976,495,269,290,423,132,118,1025,221,1034,635
500,24,Katelin Marks,http://games.crossfit.com/athlete/120247,401 (3021),0,66.93,0,120247,154.32,616 (265),482 (346),754 (103),437 (242),732 (10:16),16,CrossFit Broadbeach,CrossFit Broadbeach,200.0,,100.0,,,,1260.0,216.05,167.55,330.69,286.6,,401,3021,616,265,482,346,754,103,437,242,732,616
501,32,Emily Bird,http://games.crossfit.com/athlete/746098,402 (3026),0,60.0,0,746098,145.0,591 (266),947 (342),687 (104),548 (238),253 (09:30),16,CrossFit Verve,CrossFit Verve,,,,,,,,,,,,,402,3026,591,266,947,342,687,104,548,238,253,570
502,33,Kristen Christman,http://games.crossfit.com/athlete/27670,403 (3035),0,69.0,0,27670,150.0,1210 (247),389 (423),349 (114),525 (239),562 (10:02),16,Friendship CrossFit,Friendship CrossFit,185.0,478.0,111.0,,374,,,215.0,175.0,330.0,265.0,30,403,3035,1210,247,389,423,349,114,525,239,562,602
503,30,Carolyn Napier,http://games.crossfit.com/athlete/46842,404 (3038),0,60.0,0,46842,122.0,308 (277),1090 (341),314 (114),738 (232),588 (10:04),16,Koda CrossFit,Koda CrossFit,136.0,,,,0,,,180.0,145.0,290.0,275.0,,404,3038,308,277,1090,341,314,114,738,232,588,604
504,22,Alyssa Lafont,http://games.crossfit.com/athlete/467556,405 (3040),0,66.0,0,467556,160.0,1005 (252),434 (347),524 (109),868 (227),209 (09:24),16,Team Louisiana,CrossFit NOLA,159.0,,109.0,,,,,215.0,170.0,400.0,320.0,,405,3040,1005,252,434,347,524,109,868,227,209,564
505,37,Jenna Larson,http://games.crossfit.com/athlete/226482,406 (3045),0,65.0,0,226482,145.0,1175 (248),540 (345),346 (114),543 (238),441 (09:53),16,Red Hills CrossFit,Red Hills CrossFit,183.0,603.0,117.0,,392,,,199.0,147.0,305.0,270.0,35,406,3045,1175,248,540,345,346,114,543,238,441,593
506,26,Jessica Stevenson,http://games.crossfit.com/athlete/122865,407 (3061),0,64.0,0,122865,139.0,775 (260),219 (424),865 (103),447 (242),755 (10:18),16,CrossFit DV8,CrossFit Deviate,,,134.0,,,71.0,,205.0,160.0,325.0,280.0,,407,3061,775,260,219,424,865,103,447,242,755,618
507,24,Steph Chung,http://games.crossfit.com/athlete/387995,408 (3074),0,65.0,0,387995,139.0,155 (290),1212 (341),403 (112),921 (226),383 (09:46),16,CrossFit Erada,CrossFit Erada,193.0,587.0,149.0,,,,,210.0,170.0,,245.0,,408,3074,155,290,1212,341,403,112,921,226,383,586
508,28,Puawai Munro-Halkyard,http://games.crossfit.com/athlete/31808,409 (3088),0,64.96,0,31808,138.0,616 (265),886 (343),618 (106),393 (244),575 (10:03),16,CrossFit HPU,CrossFit HPU,232.0,,115.0,,,,,220.46,182.98,319.67,286.6,,409,3088,616,265,886,343,618,106,393,244,575,603
509,28,Kim Cocce,http://games.crossfit.com/athlete/37849,410 (3091),0,65.0,0,37849,141.0,451 (271),1420 (340),742 (103),210 (253),268 (09:33),16,CrossFit RDU,CrossFit RDU,,,,,,,,,,,,,410,3091,451,271,1420,340,742,103,210,253,268,573
510,27,Kayla Smith,http://games.crossfit.com/athlete/234498,411 (3092),0,70.0,0,234498,168.0,319 (276),486 (346),445 (111),1133 (218),709 (10:14),16,CrossFit Ridgeline,CrossFit Ridgeline,,,,,,,,0.0,0.0,0.0,0.0,,411,3092,319,276,486,346,445,111,1133,218,709,614
511,34,Quinn Te Kahu,http://games.crossfit.com/athlete/258001,411 (3092),0,63.78,0,258001,136.0,616 (265),408 (347),1102 (101),427 (243),539 (10:00),16,Injustice Crew,Injustice CrossFit,,,,,,,,,,,,,411,3092,616,265,408,347,1102,101,427,243,539,600
512,26,Alex Smith,http://games.crossfit.com/athlete/129018,413 (3105),0,68.0,0,129018,151.0,921 (256),380 (423),190 (116),1005 (221),609 (10:06),16,Three Kings Black,Three Kings CrossFit,187.0,566.0,149.0,,,,,220.0,175.0,340.0,285.0,25,413,3105,921,256,380,423,190,116,1005,221,609,606
513,24,Tia Wright,http://games.crossfit.com/athlete/9328,414 (3109),0,64.0,0,9328,138.0,380 (273),344 (423),675 (104),1067 (220),643 (10:09),16,Work Hard Live Fit,CrossFit Industrious,,,,,0,,,220.46,171.96,300.0,0.0,0,414,3109,380,273,344,423,675,104,1067,220,643,609
514,27,Kate McCall,http://games.crossfit.com/athlete/291503,414 (3109),0,64.0,0,291503,132.28,775 (260),480 (346),1124 (101),354 (245),376 (09:45),16,CrossFit Derby,CrossFit Derby,167.0,,,,,55.0,,187.39,154.32,319.67,275.58,,414,3109,775,260,480,346,1124,101,354,245,376,585
515,41,Trina Huarte,http://games.crossfit.com/athlete/555960,416 (3111),0,,0,555960,150.0,274 (278),1303 (340),1113 (101),205 (253),216 (09:25),16,Cascade CrossFit,Cascade CrossFit,,,,,,,,,,,,,416,3111,274,278,1303,340,1113,101,205,253,216,565
516,35,Rachel Doucet,http://games.crossfit.com/athlete/7185,417 (3114),0,65.0,0,7185,148.0,380 (273),811 (343),1079 (101),432 (242),412 (09:49),16,Crossfit  Krypton,CrossFit Krypton,,,,,0,,,195.0,155.0,300.0,245.0,0,417,3114,380,273,811,343,1079,101,432,242,412,589
517,24,April Hering,http://games.crossfit.com/athlete/101010,418 (3122),0,66.93,0,101010,145.0,591 (266),450 (346),510 (109),245 (251),1326 (10:50),16,CrossFit Verge,CrossFit Verge,,,,,,,,209.44,171.96,330.69,242.51,,418,3122,591,266,450,346,510,109,245,251,1326,650
518,30,Mandi Janowitz,http://games.crossfit.com/athlete/12701,419 (3124),0,65.0,0,12701,145.0,173 (288),114 (426),279 (115),1970 (208),588 (10:04),16,Ute CrossFit,Ute CrossFit Sugarhouse,,,,,,,,225.0,180.0,335.0,,,419,3124,173,288,114,426,279,115,1970,208,588,604
519,30,Tiffany Thelen,http://games.crossfit.com/athlete/326629,420 (3125),0,,0,326629,139.0,436 (272),378 (423),707 (104),1134 (218),470 (09:55),16,,CrossFit Fond du Lac,,,,,,,,,,,,,420,3125,436,272,378,423,707,104,1134,218,470,595
520,32,Sigrid Koolhaas,http://games.crossfit.com/athlete/286563,421 (3141),0,64.17,0,286563,154.0,473 (270),101 (427),293 (114),925 (225),1349 (10:51),16,,CrossFit Punt Uit,,,,,,,,165.35,154.32,275.58,253.53,,421,3141,473,270,101,427,293,114,925,225,1349,651
521,32,Ashleigh Moe,http://games.crossfit.com/athlete/38474,422 (3151),0,62.0,0,38474,130.0,337 (275),1358 (340),442 (111),305 (248),709 (10:14),16,CrossFit Marysville,CrossFit Marysville,156.0,452.0,160.0,1043.0,375,64.0,1415.0,185.0,145.0,305.0,250.0,42,422,3151,337,275,1358,340,442,111,305,248,709,614
522,29,Kristen Anderson,http://games.crossfit.com/athlete/10896,423 (3163),0,65.0,0,10896,140.0,380 (273),267 (423),468 (110),1672 (211),376 (09:45),16,TeamBSS,TeamBSS CrossFit,,,,,0,,,0.0,0.0,0.0,0.0,0,423,3163,380,273,267,423,468,110,1672,211,376,585
523,31,Michelle Basu Roy,http://games.crossfit.com/athlete/186689,424 (3169),0,65.0,0,186689,125.0,173 (288),299 (423),2313 (90),116 (260),268 (09:33),16,CrossFit Metric,CrossFit Metric,150.0,,118.0,,381,54.0,1095.0,190.0,145.0,300.0,245.0,,424,3169,173,288,299,423,2313,90,116,260,268,573
524,30,Sara Drain,http://games.crossfit.com/athlete/307806,425 (3172),0,,0,307806,135.0,436 (272),655 (344),896 (102),430 (243),755 (10:18),16,Reebok CrossFit Frankston,Reebok CrossFit Frankston,,,,,,,,,,,,,425,3172,436,272,655,344,896,102,430,243,755,618
525,31,Candice Ulibarri,http://games.crossfit.com/athlete/22432,426 (3174),0,69.0,0,22432,160.0,556 (267),322 (423),232 (115),255 (250),1809 (11:10),16,Crossfit Evermore,CrossFit Evermore,,,,,,,,,,,,,426,3174,556,267,322,423,232,115,255,250,1809,670
526,31,Mindy Hughes,http://games.crossfit.com/athlete/398977,427 (3181),0,68.0,0,398977,142.0,451 (271),790 (343),1407 (99),413 (243),120 (09:08),16,Tough Country CrossFit,Tough Country CrossFit,,,,,,,,,,,,,427,3181,451,271,790,343,1407,99,413,243,120,548
527,30,Vivian Aiello Bomfim,http://games.crossfit.com/athlete/121493,428 (3184),0,,0,121493,143.0,1137 (249),724 (344),558 (108),571 (237),194 (09:22),16,Team Moema,CrossFit Moema,,,,,269,,,,,,,,428,3184,1137,249,724,344,558,108,571,237,194,562
528,21,Anna Gärdsmo,http://games.crossfit.com/athlete/479337,429 (3188),0,,0,479337,132.0,128 (292),1288 (340),1273 (101),238 (251),261 (09:32),16,CrossFit Solid,CrossFit Solid,,,,,,,,,,,,,429,3188,128,292,1288,340,1273,101,238,251,261,572
529,29,Allison DeRoma,http://games.crossfit.com/athlete/160188,430 (3196),0,65.0,0,160188,149.0,319 (276),1450 (340),865 (103),434 (242),128 (09:10),16,Timberwolf CrossFIt,Timberwolf CrossFit,182.0,,,,380,,1290.0,195.0,155.0,300.0,280.0,28,430,3196,319,276,1450,340,865,103,434,242,128,550
530,31,Danielle Koch,http://games.crossfit.com/athlete/31592,431 (3199),0,,0,31592,150.0,184 (287),767 (343),663 (105),1144 (218),441 (09:53),16,CrossFit New Alabny,CrossFit New Albany,,,,,,,,,,,,,431,3199,184,287,767,343,663,105,1144,218,441,593
531,22,Laura Gonzalez Marin,http://games.crossfit.com/athlete/277184,432 (3206),0,67.0,0,277184,162.0,718 (262),249 (424),1633 (96),271 (249),335 (09:41),16,Caution CrossFit,Caution CrossFit,,,89.0,,,,,,,,,,432,3206,718,262,249,424,1633,96,271,249,335,581
532,19,Taylor Ballek,http://games.crossfit.com/athlete/717711,432 (3206),0,65.0,0,717711,143.0,775 (260),749 (343),314 (114),613 (236),755 (10:18),16,,New London CrossFit,173.0,,,,,,,185.0,150.0,,220.0,,432,3206,775,260,749,343,314,114,613,236,755,618
533,22,Victoria Bowers,http://games.crossfit.com/athlete/304661,434 (3214),0,61.0,0,304661,135.0,556 (267),1573 (339),119 (119),443 (242),523 (09:59),16,Geaux CrossFit,Geaux CrossFit,218.0,,,,,,,,,,,,434,3214,556,267,1573,339,119,119,443,242,523,599
534,39,Michelle Crawford,http://games.crossfit.com/athlete/13372,435 (3225),0,67.0,0,13372,128.0,1386 (245),865 (343),558 (108),114 (260),302 (09:38),16,Rising Orange,Rising CrossFit Ballantyne,141.0,469.0,96.0,1092.0,437,59.0,1127.0,210.0,165.0,350.0,280.0,55,435,3225,1386,245,865,343,558,108,114,260,302,578
535,21,Valerie Calhoun,http://games.crossfit.com/athlete/113597,436 (3233),0,60.0,0,113597,121.0,718 (262),686 (344),595 (107),409 (244),825 (10:22),16,Rocklin CrossFit,Rocklin CrossFit,134.0,,,,,,,205.0,160.0,341.0,287.0,64,436,3233,718,262,686,344,595,107,409,244,825,622
536,30,Gina Policastro,http://games.crossfit.com/athlete/689844,437 (3234),0,64.0,0,689844,145.0,224 (284),1123 (341),132 (118),1497 (213),258 (09:31),16,CrossFit Garden City,CrossFit Garden City,,,,,,,,,,,,,437,3234,224,284,1123,341,132,118,1497,213,258,571
537,29,Oxana Slivenko,http://games.crossfit.com/athlete/98748,438 (3235),0,64.57,0,98748,150.0,748 (261),253 (424),663 (105),729 (232),842 (10:23),16,CrossFit Geraklion,CrossFit Geraklion,,,,,,,,253.53,209.44,330.69,330.69,30,438,3235,748,261,253,424,663,105,729,232,842,623
538,33,Jillian Merns,http://games.crossfit.com/athlete/239812,439 (3241),0,,0,239812,142.0,231 (283),1326 (340),558 (108),771 (230),355 (09:43),16,CrossFit 212,CrossFit 212,,,,,,,,,,,,,439,3241,231,283,1326,340,558,108,771,230,355,583
539,24,Morgan Bolin,http://games.crossfit.com/athlete/553663,440 (3248),0,68.0,0,553663,139.0,155 (290),368 (423),1412 (99),908 (226),405 (09:48),16,Ex Nihilo,CrossFit Ex Nihilo,198.0,,104.0,,,70.0,1215.0,205.0,175.0,255.0,240.0,35,440,3248,155,290,368,423,1412,99,908,226,405,588
540,25,Dominique Johnson,http://games.crossfit.com/athlete/518555,441 (3250),0,,0,518555,147.0,775 (260),522 (345),336 (114),583 (237),1034 (10:35),16,CrossFit Athletic,CrossFit Athletic,,,,,,,,,,,,,441,3250,775,260,522,345,336,114,583,237,1034,635
541,32,Erica Sideri,http://games.crossfit.com/athlete/117219,442 (3270),0,64.0,0,117219,145.0,616 (265),440 (346),164 (117),1407 (214),643 (10:09),16,Max Effort Avengers,CrossFit Max Effort,157.0,,,,,,,195.0,155.0,295.0,260.0,50,442,3270,616,265,440,346,164,117,1407,214,643,609
542,24,Kelly Baker,http://games.crossfit.com/athlete/747027,443 (3272),0,,0,747027,,436 (272),74 (428),2213 (90),355 (245),194 (09:22),16,Crossfit Parallax,CrossFit Parallax,,,,,,,,230.0,185.0,335.0,295.0,,443,3272,436,272,74,428,2213,90,355,245,194,562
543,36,Corrine Check,http://games.crossfit.com/athlete/113735,443 (3272),0,64.0,0,113735,142.0,451 (271),771 (343),602 (106),1093 (219),355 (09:43),16,Drachen Legion,Drachen CrossFit,,,116.0,,,,,195.0,145.0,330.0,250.0,,443,3272,451,271,771,343,602,106,1093,219,355,583
544,26,Erica Feitler,http://games.crossfit.com/athlete/244324,445 (3290),0,,0,244324,145.0,748 (261),1082 (341),647 (105),343 (246),470 (09:55),16,Cragletes,CrossFit Crag,,,,,,,,175.0,150.0,265.0,245.0,,445,3290,748,261,1082,341,647,105,343,246,470,595
545,29,Lindsey Kelly,http://games.crossfit.com/athlete/16492,446 (3292),0,70.0,0,16492,163.0,262 (279),346 (423),314 (114),1867 (209),503 (09:57),16,,Unaffiliated,198.0,,86.0,,,,,,165.0,410.0,315.0,,446,3292,262,279,346,423,314,114,1867,209,503,597
546,27,Tory Gray,http://games.crossfit.com/athlete/113068,447 (3294),0,67.0,0,113068,149.0,525 (268),346 (423),1072 (101),1016 (221),335 (09:41),16,CrossFit Wicked,CrossFit Wicked,139.0,,,1152.0,,64.0,1343.0,200.0,155.0,290.0,275.0,60,447,3294,525,268,346,423,1072,101,1016,221,335,581
