Unnamed: 0,Age,Athlete,Athlete_URL,Finish,Gender,Height,Region,User_ID,Weight,Wk1,Wk2,Wk3,Wk4,Wk5,Year,Team,Affiliate,Fran,Helen,Grace,Filthy_50,Fight_Gone_Bad,Sprint_400,Run_5k,Clean_And_Jerk,Snatch,Deadlift,Back_Squat,Max_Pullups,Place,Score,Wk1_Place,Wk1_Score,Wk2_Place,Wk2_Score,Wk3_Place,Wk3_Score,Wk4_Place,Wk4_Score,Wk5_Place,Wk5_Score
1939,39,Helen Langkilde,http://games.crossfit.com/athlete/121507,1840 (12385),0,65.0,0,121507,130.0,2484 (229),2099 (319),741 (103),3723 (197),3338 (11:57),16,CrossFit Sweat Shop,CrossFit Sweat Shop,148.0,491.0,137.0,,,,,190.0,150.0,280.0,265.0,56,1840,12385,2484,229,2099,319,741,103,3723,197,3338,717
1940,28,Josefin Sjöhamn,http://games.crossfit.com/athlete/279613,1841 (12412),0,63.78,0,279613,141.1,4951 (208),1383 (340),1263 (101),3811 (197),1004 (10:33),16,Team CrossFit Onyx,Reebok CrossFit Onyx,263.0,,,,,,,176.37,121.25,297.62,249.12,21,1841,12412,4951,208,1383,340,1263,101,3811,197,1004,633
1941,31,Karen Whitney,http://games.crossfit.com/athlete/488323,1842 (12415),0,,0,488323,,1920 (236),3556 (259),1980 (91),3530 (198),1429 (10:54),16,,Three Lions CrossFit,,,,,,,,,,,,,1842,12415,1920,236,3556,259,1980,91,3530,198,1429,654
1942,26,Jayme DeFlurin,http://games.crossfit.com/athlete/65010,1843 (12419),0,64.0,0,65010,129.0,2818 (225),692 (344),3209 (88),2738 (203),2962 (11:48),16,CrossFit Subdued,CrossFit Subdued,,,,,,,,,,,,,1843,12419,2818,225,692,344,3209,88,2738,203,2962,708
1943,23,Anastasiya Andreeva,http://games.crossfit.com/athlete/780760,1844 (12422),0,65.75,0,780760,138.89,2054 (234),1828 (339),3117 (88),1393 (215),4030 (12:15),16,,,,,,,,,,187.39,,297.62,242.51,,1844,12422,2054,234,1828,339,3117,88,1393,215,4030,735
1944,44,Tracey MacDonald,http://games.crossfit.com/athlete/106181,1845 (12424),0,60.0,0,106181,132.0,1471 (243),6067 (255),2798 (88),1151 (218),937 (10:30),16,Team CDR,CrossFit CDR Redlands,125.0,487.0,,,,,,185.0,135.0,350.0,290.0,42,1845,12424,1471,243,6067,255,2798,88,1151,218,937,630
1945,27,Amber Livingston,http://games.crossfit.com/athlete/280122,1846 (12434),0,66.0,0,280122,125.0,1137 (249),3049 (260),3487 (86),2886 (202),1875 (11:13),16,CrossFit 425,CrossFit 425,,,,,,,,,,,,,1846,12434,1137,249,3049,260,3487,86,2886,202,1875,673
1946,27,Kelly Alvidrez,http://games.crossfit.com/athlete/317504,1847 (12437),0,,0,317504,134.0,1338 (246),1636 (339),2403 (89),2666 (203),4394 (12:23),16,i1uvit,CrossFit i1uvit,,,,,,,,,,,,,1847,12437,1338,246,1636,339,2403,89,2666,203,4394,743
1947,29,Katy Kazell,http://games.crossfit.com/athlete/241174,1848 (12444),0,66.0,0,241174,128.0,1796 (238),2298 (262),1359 (99),2511 (204),4480 (12:25),16,MBS CrossFit Broomfield,MBS CrossFit,,505.0,180.0,1221.0,353,,,170.0,130.0,275.0,220.0,0,1848,12444,1796,238,2298,262,1359,99,2511,204,4480,745
1948,26,Monica Morley,http://games.crossfit.com/athlete/373150,1849 (12446),0,63.0,0,373150,123.0,1920 (236),2969 (260),1147 (101),4555 (194),1855 (11:12),16,CrazyHouse,CrossFit Crazy House,,,,,,67.0,319.0,155.0,105.0,200.0,190.0,30,1849,12446,1920,236,2969,260,1147,101,4555,194,1855,672
1949,26,Leonie Solia,http://games.crossfit.com/athlete/169047,1850 (12448),0,60.0,0,169047,147.0,4457 (212),2404 (262),1067 (101),1558 (213),2962 (11:48),16,CrossFit Moxie,CrossFit Moxie,,,,,,,,,,,,,1850,12448,4457,212,2404,262,1067,101,1558,213,2962,708
1950,30,Lisa Stancil,http://games.crossfit.com/athlete/48399,1851 (12452),0,68.0,0,48399,,3897 (216),1225 (341),1316 (100),460 (241),5554 (12:47),16,CrossFit 540,CrossFit 540,259.0,605.0,115.0,1415.0,0,,1290.0,205.0,170.0,320.0,315.0,16,1851,12452,3897,216,1225,341,1316,100,460,241,5554,767
